Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,692,2,620,89.59537572254335,36.0,0.11078305215355717,48
SyntheticPersonaChat,759,0,759,100.0,0.0,-1.0,48
MSC,1245,4,1116,89.63855421686748,32.25,0.09028875689460296,48
PEC,20479,50,16079,78.51457590702671,88.0,0.31390210443649147,48
FoCus,813,3,708,87.08487084870849,35.0,0.1630158643936069,48
MPChat,2597,8,2349,90.45051983057374,31.0,0.22068968023804478,48
PER-CHAT,15536,31,13775,88.66503604531411,56.806451612903224,0.20447227647611407,48
