HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 21736
Vectorization method: dense
Number of clusters: 180
Number of noise points: 19140 (88.1%)
Analysis type: clusters
Timestamp: 2025-05-27 15:48:48

Dataset Distribution:
  FoCus: 390 statements
  MPChat: 1341 statements
  MSC: 441 statements
  PEC: 11012 statements
  PER-CHAT: 7845 statements
  PersonaChat: 426 statements
  SyntheticPersonaChat: 281 statements

============================================================

Cluster Information:
  Cluster 108: 6 statements (persistence: 1.000)
  Cluster 123: 6 statements (persistence: 0.989)
  Cluster 125: 6 statements (persistence: 0.999)
  Cluster 127: 6 statements (persistence: 0.980)
  Cluster 129: 6 statements (persistence: 1.000)
  Cluster 141: 6 statements (persistence: 1.000)
  Cluster 142: 6 statements (persistence: 0.996)
  Cluster 154: 6 statements (persistence: 1.000)
  Cluster 164: 6 statements (persistence: 0.994)
  Cluster 179: 6 statements (persistence: 0.997)
  Cluster 1: 5 statements (persistence: 1.000)
  Cluster 4: 5 statements (persistence: 1.000)
  Cluster 5: 5 statements (persistence: 1.000)
  Cluster 7: 5 statements (persistence: 1.000)
  Cluster 12: 5 statements (persistence: 1.000)
  Cluster 14: 5 statements (persistence: 1.000)
  Cluster 21: 5 statements (persistence: 1.000)
  Cluster 22: 5 statements (persistence: 1.000)
  Cluster 29: 5 statements (persistence: 1.000)
  Cluster 30: 5 statements (persistence: 1.000)
  Cluster 31: 5 statements (persistence: 1.000)
  Cluster 37: 5 statements (persistence: 1.000)
  Cluster 39: 5 statements (persistence: 1.000)
  Cluster 41: 5 statements (persistence: 1.000)
  Cluster 43: 5 statements (persistence: 1.000)
  Cluster 53: 5 statements (persistence: 1.000)
  Cluster 54: 5 statements (persistence: 1.000)
  Cluster 57: 5 statements (persistence: 1.000)
  Cluster 59: 5 statements (persistence: 1.000)
  Cluster 61: 5 statements (persistence: 1.000)
  Cluster 62: 5 statements (persistence: 1.000)
  Cluster 64: 5 statements (persistence: 1.000)
  Cluster 66: 5 statements (persistence: 1.000)
  Cluster 70: 5 statements (persistence: 1.000)
  Cluster 71: 5 statements (persistence: 1.000)
  Cluster 73: 5 statements (persistence: 1.000)
  Cluster 87: 5 statements (persistence: 1.000)
  Cluster 91: 5 statements (persistence: 1.000)
  Cluster 92: 5 statements (persistence: 1.000)
  Cluster 99: 5 statements (persistence: 1.000)
  Cluster 101: 5 statements (persistence: 1.000)
  Cluster 103: 5 statements (persistence: 1.000)
  Cluster 105: 5 statements (persistence: 1.000)
  Cluster 111: 5 statements (persistence: 1.000)
  Cluster 114: 5 statements (persistence: 1.000)
  Cluster 131: 5 statements (persistence: 1.000)
  Cluster 140: 5 statements (persistence: 1.000)
  Cluster 144: 5 statements (persistence: 1.000)
  Cluster 145: 5 statements (persistence: 1.000)
  Cluster 151: 5 statements (persistence: 1.000)
  Cluster 152: 5 statements (persistence: 1.000)
  Cluster 156: 5 statements (persistence: 1.000)
  Cluster 157: 5 statements (persistence: 1.000)
  Cluster 160: 5 statements (persistence: 1.000)
  Cluster 162: 5 statements (persistence: 1.000)
  Cluster 172: 5 statements (persistence: 1.000)
