Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,981,14,425,43.323139653414884,39.714285714285715,0.45626416916663415,16
SyntheticPersonaChat,1045,15,608,58.18181818181818,29.133333333333333,0.7301834266983199,16
MSC,1898,21,1109,58.42992623814541,37.57142857142857,0.5188105453945883,16
PEC,33064,210,19125,57.8423663198645,66.37619047619047,0.5208427993171721,16
FoCus,1270,23,365,28.74015748031496,39.34782608695652,0.6241432838737617,16
MPChat,4177,32,2353,56.33229590615274,57.0,0.4683078679123147,16
PER-CHAT,26941,111,15312,56.83530678148547,104.76576576576576,0.4566689012324681,16
