Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,574,7,329,57.3170731707317,35.0,0.6703345269543964,16
SyntheticPersonaChat,631,7,358,56.735340729001585,39.0,0.6633521436650397,16
MSC,976,11,550,56.35245901639344,38.72727272727273,0.46555421009345,16
PEC,15829,102,9964,62.94775412218081,57.5,0.5316068914718397,16
FoCus,676,14,269,39.79289940828402,29.071428571428573,0.6819062028026662,16
MPChat,1903,21,744,39.096163951655285,55.19047619047619,0.5375574622799575,16
PER-CHAT,12212,49,6175,50.56501801506714,123.20408163265306,0.513080060378897,16
