HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 22380
Vectorization method: tfidf
Number of clusters: 193
Number of noise points: 10381 (46.4%)
Analysis type: clusters
Timestamp: 2025-05-26 16:30:26

Dataset Distribution:
  SyntheticPersonaChat: 22380 statements

============================================================

Cluster Information:
  Cluster 149: 36 statements (persistence: 1.000)
  Cluster 162: 36 statements (persistence: 0.935)
  Cluster 17: 35 statements (persistence: 1.000)
  Cluster 57: 35 statements (persistence: 0.971)
  Cluster 61: 35 statements (persistence: 0.790)
  Cluster 79: 35 statements (persistence: 0.906)
  Cluster 85: 35 statements (persistence: 0.914)
  Cluster 118: 35 statements (persistence: 1.000)
  Cluster 130: 35 statements (persistence: 1.000)
  Cluster 29: 34 statements (persistence: 0.735)
  Cluster 81: 34 statements (persistence: 1.000)
  Cluster 96: 34 statements (persistence: 0.882)
  Cluster 119: 34 statements (persistence: 1.000)
  Cluster 161: 34 statements (persistence: 0.882)
  Cluster 142: 33 statements (persistence: 0.921)
  Cluster 144: 33 statements (persistence: 0.995)
  Cluster 146: 33 statements (persistence: 0.932)
  Cluster 147: 33 statements (persistence: 0.865)
  Cluster 98: 32 statements (persistence: 1.000)
  Cluster 135: 32 statements (persistence: 1.000)
  Cluster 155: 32 statements (persistence: 0.844)
  Cluster 86: 31 statements (persistence: 0.995)
  Cluster 89: 31 statements (persistence: 0.903)
  Cluster 114: 31 statements (persistence: 1.000)
  Cluster 115: 31 statements (persistence: 1.000)
  Cluster 141: 31 statements (persistence: 1.000)
  Cluster 145: 31 statements (persistence: 0.903)
  Cluster 163: 31 statements (persistence: 0.924)
  Cluster 169: 31 statements (persistence: 0.968)
  Cluster 67: 30 statements (persistence: 0.933)
  Cluster 71: 30 statements (persistence: 0.978)
  Cluster 121: 30 statements (persistence: 0.994)
  Cluster 39: 29 statements (persistence: 0.969)
  Cluster 45: 29 statements (persistence: 1.000)
  Cluster 165: 29 statements (persistence: 0.992)
  Cluster 175: 29 statements (persistence: 0.999)
  Cluster 183: 29 statements (persistence: 0.972)
  Cluster 187: 29 statements (persistence: 1.000)
  Cluster 70: 28 statements (persistence: 1.000)
  Cluster 92: 28 statements (persistence: 1.000)
  Cluster 101: 28 statements (persistence: 1.000)
  Cluster 129: 28 statements (persistence: 0.996)
  Cluster 137: 28 statements (persistence: 1.000)
  Cluster 148: 28 statements (persistence: 1.000)
  Cluster 168: 28 statements (persistence: 0.988)
  Cluster 176: 28 statements (persistence: 0.972)
  Cluster 1: 27 statements (persistence: 1.000)
  Cluster 22: 27 statements (persistence: 1.000)
  Cluster 80: 27 statements (persistence: 0.999)
  Cluster 167: 27 statements (persistence: 0.999)
  Cluster 170: 27 statements (persistence: 1.000)
  Cluster 35: 26 statements (persistence: 1.000)
  Cluster 47: 26 statements (persistence: 1.000)
  Cluster 53: 26 statements (persistence: 1.000)
  Cluster 123: 26 statements (persistence: 1.000)
  Cluster 127: 26 statements (persistence: 1.000)
  Cluster 153: 26 statements (persistence: 1.000)
  Cluster 160: 26 statements (persistence: 1.000)
  Cluster 164: 26 statements (persistence: 0.993)
  Cluster 172: 26 statements (persistence: 1.000)
  Cluster 178: 26 statements (persistence: 1.000)
  Cluster 20: 25 statements (persistence: 1.000)
  Cluster 33: 25 statements (persistence: 1.000)
  Cluster 38: 25 statements (persistence: 1.000)
  Cluster 110: 25 statements (persistence: 1.000)
  Cluster 171: 25 statements (persistence: 1.000)
