Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,426,19,233,54.694835680751176,10.157894736842104,0.11026948,48
SyntheticPersonaChat,475,2,217,45.68421052631579,129.0,0.052470047,48
MSC,718,2,142,19.77715877437326,288.0,-0.033541918,48
PEC,11258,3,4486,39.847219754841,2257.3333333333335,-0.07427201,48
FoCus,495,2,199,40.2020202020202,148.0,-0.0006036275,48
MPChat,1462,4,644,44.04924760601915,204.5,-0.06503045,48
PER-CHAT,8359,52,6501,77.77246082067234,35.73076923076923,0.10596979,48
