HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 46737
Vectorization method: tfidf
Number of clusters: 543
Number of noise points: 27561 (59.0%)
Analysis type: clusters
Timestamp: 2025-05-27 15:59:11

Dataset Distribution:
  FoCus: 702 statements
  MPChat: 2684 statements
  MSC: 893 statements
  PEC: 23698 statements
  PER-CHAT: 17615 statements
  PersonaChat: 786 statements
  SyntheticPersonaChat: 359 statements

============================================================

Cluster Information:
  Cluster 541: 2080 statements (persistence: 0.478)
  Cluster 342: 942 statements (persistence: 1.000)
  Cluster 325: 304 statements (persistence: 0.148)
  Cluster 369: 279 statements (persistence: 0.393)
  Cluster 202: 220 statements (persistence: 0.337)
  Cluster 373: 213 statements (persistence: 0.988)
  Cluster 351: 212 statements (persistence: 0.217)
  Cluster 337: 198 statements (persistence: 0.139)
  Cluster 329: 182 statements (persistence: 0.254)
  Cluster 245: 175 statements (persistence: 0.252)
  Cluster 419: 172 statements (persistence: 0.194)
  Cluster 176: 160 statements (persistence: 0.211)
  Cluster 432: 144 statements (persistence: 0.461)
  Cluster 323: 142 statements (persistence: 0.339)
  Cluster 385: 139 statements (persistence: 0.449)
  Cluster 452: 135 statements (persistence: 0.450)
  Cluster 267: 132 statements (persistence: 0.347)
  Cluster 447: 117 statements (persistence: 0.991)
  Cluster 275: 112 statements (persistence: 0.321)
  Cluster 133: 110 statements (persistence: 0.342)
  Cluster 291: 109 statements (persistence: 0.357)
  Cluster 414: 108 statements (persistence: 1.000)
  Cluster 114: 100 statements (persistence: 0.313)
  Cluster 194: 100 statements (persistence: 0.446)
  Cluster 433: 100 statements (persistence: 0.261)
  Cluster 346: 96 statements (persistence: 0.509)
  Cluster 393: 95 statements (persistence: 0.275)
  Cluster 260: 92 statements (persistence: 0.399)
  Cluster 308: 92 statements (persistence: 0.304)
  Cluster 438: 90 statements (persistence: 0.318)
  Cluster 182: 89 statements (persistence: 0.342)
  Cluster 367: 86 statements (persistence: 0.267)
  Cluster 281: 85 statements (persistence: 0.381)
  Cluster 380: 84 statements (persistence: 0.449)
  Cluster 314: 82 statements (persistence: 0.396)
  Cluster 113: 78 statements (persistence: 0.392)
  Cluster 192: 78 statements (persistence: 0.404)
  Cluster 423: 76 statements (persistence: 0.448)
  Cluster 441: 76 statements (persistence: 0.523)
  Cluster 216: 75 statements (persistence: 0.320)
  Cluster 364: 75 statements (persistence: 0.308)
  Cluster 86: 73 statements (persistence: 0.370)
  Cluster 298: 73 statements (persistence: 0.380)
  Cluster 353: 73 statements (persistence: 0.404)
  Cluster 163: 72 statements (persistence: 0.333)
  Cluster 47: 70 statements (persistence: 0.567)
  Cluster 287: 69 statements (persistence: 0.171)
  Cluster 315: 69 statements (persistence: 0.499)
  Cluster 372: 67 statements (persistence: 0.179)
  Cluster 246: 64 statements (persistence: 0.336)
  Cluster 226: 63 statements (persistence: 0.513)
  Cluster 305: 63 statements (persistence: 0.345)
  Cluster 481: 63 statements (persistence: 0.548)
  Cluster 402: 60 statements (persistence: 0.524)
  Cluster 407: 60 statements (persistence: 0.591)
  Cluster 122: 59 statements (persistence: 0.457)
  Cluster 217: 59 statements (persistence: 0.361)
  Cluster 225: 59 statements (persistence: 0.966)
  Cluster 434: 59 statements (persistence: 0.404)
  Cluster 94: 58 statements (persistence: 0.537)
  Cluster 375: 58 statements (persistence: 0.598)
  Cluster 311: 57 statements (persistence: 1.000)
  Cluster 368: 57 statements (persistence: 0.769)
  Cluster 48: 56 statements (persistence: 0.827)
  Cluster 236: 56 statements (persistence: 0.565)
  Cluster 310: 56 statements (persistence: 0.431)
  Cluster 358: 56 statements (persistence: 0.581)
  Cluster 55: 55 statements (persistence: 0.603)
  Cluster 40: 54 statements (persistence: 0.981)
  Cluster 327: 53 statements (persistence: 0.429)
  Cluster 347: 53 statements (persistence: 0.208)
  Cluster 389: 53 statements (persistence: 1.000)
  Cluster 228: 51 statements (persistence: 0.469)
  Cluster 241: 51 statements (persistence: 0.433)
  Cluster 223: 50 statements (persistence: 0.598)
  Cluster 330: 50 statements (persistence: 0.403)
  Cluster 426: 50 statements (persistence: 0.649)
  Cluster 443: 49 statements (persistence: 0.524)
  Cluster 463: 49 statements (persistence: 0.620)
  Cluster 82: 48 statements (persistence: 0.591)
  Cluster 299: 48 statements (persistence: 0.511)
  Cluster 442: 48 statements (persistence: 0.542)
  Cluster 29: 47 statements (persistence: 0.411)
  Cluster 243: 47 statements (persistence: 0.570)
  Cluster 290: 47 statements (persistence: 0.341)
  Cluster 412: 47 statements (persistence: 0.612)
  Cluster 427: 47 statements (persistence: 0.669)
  Cluster 374: 46 statements (persistence: 0.534)
  Cluster 395: 45 statements (persistence: 0.222)
  Cluster 398: 45 statements (persistence: 0.699)
  Cluster 0: 44 statements (persistence: 1.000)
  Cluster 384: 44 statements (persistence: 0.707)
  Cluster 388: 44 statements (persistence: 0.592)
  Cluster 440: 44 statements (persistence: 0.544)
  Cluster 472: 44 statements (persistence: 0.615)
  Cluster 253: 43 statements (persistence: 0.443)
  Cluster 453: 43 statements (persistence: 0.820)
  Cluster 67: 41 statements (persistence: 0.563)
  Cluster 145: 41 statements (persistence: 0.762)
  Cluster 238: 41 statements (persistence: 0.639)
  Cluster 184: 40 statements (persistence: 0.447)
  Cluster 301: 40 statements (persistence: 0.678)
  Cluster 332: 40 statements (persistence: 1.000)
  Cluster 400: 40 statements (persistence: 1.000)
  Cluster 73: 39 statements (persistence: 0.429)
  Cluster 197: 39 statements (persistence: 0.889)
  Cluster 429: 39 statements (persistence: 0.762)
  Cluster 435: 39 statements (persistence: 0.679)
  Cluster 1: 38 statements (persistence: 0.656)
  Cluster 208: 38 statements (persistence: 0.375)
  Cluster 230: 38 statements (persistence: 0.761)
  Cluster 386: 38 statements (persistence: 0.871)
  Cluster 417: 38 statements (persistence: 0.601)
  Cluster 473: 38 statements (persistence: 0.629)
  Cluster 98: 37 statements (persistence: 0.455)
  Cluster 324: 37 statements (persistence: 0.485)
  Cluster 370: 37 statements (persistence: 0.612)
  Cluster 406: 37 statements (persistence: 0.818)
  Cluster 457: 37 statements (persistence: 0.637)
  Cluster 90: 36 statements (persistence: 0.421)
  Cluster 269: 36 statements (persistence: 0.972)
  Cluster 278: 36 statements (persistence: 0.708)
  Cluster 321: 36 statements (persistence: 0.530)
  Cluster 339: 36 statements (persistence: 0.581)
  Cluster 410: 36 statements (persistence: 0.701)
  Cluster 411: 36 statements (persistence: 0.889)
  Cluster 141: 35 statements (persistence: 0.594)
  Cluster 318: 35 statements (persistence: 0.610)
  Cluster 320: 35 statements (persistence: 0.562)
  Cluster 352: 35 statements (persistence: 0.454)
  Cluster 501: 35 statements (persistence: 0.650)
  Cluster 42: 34 statements (persistence: 0.504)
  Cluster 168: 34 statements (persistence: 0.463)
  Cluster 249: 34 statements (persistence: 0.427)
  Cluster 401: 34 statements (persistence: 0.912)
  Cluster 64: 33 statements (persistence: 0.444)
  Cluster 152: 33 statements (persistence: 0.435)
  Cluster 272: 33 statements (persistence: 0.535)
  Cluster 362: 33 statements (persistence: 0.813)
  Cluster 431: 33 statements (persistence: 0.814)
  Cluster 488: 33 statements (persistence: 0.758)
  Cluster 491: 33 statements (persistence: 0.303)
  Cluster 494: 33 statements (persistence: 0.684)
  Cluster 25: 32 statements (persistence: 0.521)
  Cluster 71: 32 statements (persistence: 0.438)
  Cluster 88: 32 statements (persistence: 0.666)
  Cluster 92: 32 statements (persistence: 0.969)
  Cluster 123: 32 statements (persistence: 1.000)
  Cluster 348: 32 statements (persistence: 0.584)
  Cluster 444: 32 statements (persistence: 0.711)
