HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 33064
Vectorization method: tfidf
Number of clusters: 195
Number of noise points: 17643 (53.4%)
Analysis type: clusters
Timestamp: 2025-05-27 16:37:02

Dataset Distribution:
  PEC: 33064 statements

============================================================

Cluster Information:
  Cluster 156: 36 statements (persistence: 0.971)
  Cluster 184: 36 statements (persistence: 0.954)
  Cluster 109: 35 statements (persistence: 0.988)
  Cluster 124: 35 statements (persistence: 0.727)
  Cluster 191: 35 statements (persistence: 0.938)
  Cluster 56: 34 statements (persistence: 0.776)
  Cluster 65: 34 statements (persistence: 0.806)
  Cluster 118: 34 statements (persistence: 0.777)
  Cluster 10: 33 statements (persistence: 1.000)
  Cluster 85: 33 statements (persistence: 0.982)
  Cluster 190: 33 statements (persistence: 0.952)
  Cluster 192: 33 statements (persistence: 0.940)
  Cluster 116: 32 statements (persistence: 1.000)
  Cluster 181: 32 statements (persistence: 0.993)
  Cluster 183: 32 statements (persistence: 0.939)
  Cluster 2: 31 statements (persistence: 1.000)
  Cluster 3: 31 statements (persistence: 0.949)
  Cluster 42: 31 statements (persistence: 0.820)
  Cluster 51: 31 statements (persistence: 0.800)
  Cluster 78: 31 statements (persistence: 0.844)
  Cluster 147: 31 statements (persistence: 0.886)
  Cluster 175: 31 statements (persistence: 0.960)
  Cluster 176: 31 statements (persistence: 0.925)
  Cluster 178: 31 statements (persistence: 0.954)
  Cluster 13: 30 statements (persistence: 0.982)
  Cluster 29: 30 statements (persistence: 0.799)
  Cluster 41: 30 statements (persistence: 0.805)
  Cluster 92: 30 statements (persistence: 0.887)
  Cluster 166: 30 statements (persistence: 0.933)
  Cluster 25: 29 statements (persistence: 0.850)
  Cluster 66: 29 statements (persistence: 0.791)
  Cluster 95: 29 statements (persistence: 0.824)
  Cluster 144: 29 statements (persistence: 1.000)
  Cluster 22: 28 statements (persistence: 0.899)
  Cluster 187: 28 statements (persistence: 0.971)
  Cluster 6: 27 statements (persistence: 1.000)
  Cluster 49: 27 statements (persistence: 0.967)
  Cluster 4: 26 statements (persistence: 0.962)
  Cluster 89: 26 statements (persistence: 0.986)
  Cluster 96: 26 statements (persistence: 0.885)
  Cluster 97: 26 statements (persistence: 0.878)
  Cluster 186: 26 statements (persistence: 0.989)
  Cluster 23: 25 statements (persistence: 0.986)
  Cluster 173: 25 statements (persistence: 0.988)
  Cluster 174: 25 statements (persistence: 0.998)
  Cluster 18: 24 statements (persistence: 0.958)
  Cluster 38: 24 statements (persistence: 1.000)
  Cluster 46: 24 statements (persistence: 0.927)
  Cluster 59: 24 statements (persistence: 1.000)
  Cluster 125: 24 statements (persistence: 0.998)
  Cluster 28: 23 statements (persistence: 0.998)
  Cluster 74: 23 statements (persistence: 0.995)
  Cluster 90: 23 statements (persistence: 1.000)
  Cluster 132: 23 statements (persistence: 1.000)
  Cluster 158: 23 statements (persistence: 0.999)
  Cluster 179: 23 statements (persistence: 0.999)
  Cluster 55: 22 statements (persistence: 1.000)
  Cluster 81: 22 statements (persistence: 1.000)
  Cluster 87: 22 statements (persistence: 1.000)
  Cluster 114: 22 statements (persistence: 1.000)
  Cluster 131: 22 statements (persistence: 1.000)
  Cluster 136: 22 statements (persistence: 1.000)
  Cluster 143: 22 statements (persistence: 1.000)
  Cluster 152: 22 statements (persistence: 1.000)
  Cluster 185: 22 statements (persistence: 1.000)
  Cluster 188: 22 statements (persistence: 1.000)
  Cluster 189: 22 statements (persistence: 1.000)
  Cluster 194: 22 statements (persistence: 1.000)
