HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 46737
Vectorization method: tfidf
Number of clusters: 267
Number of noise points: 28018 (59.9%)
Analysis type: clusters
Timestamp: 2025-05-27 16:15:59

Dataset Distribution:
  FoCus: 702 statements
  MPChat: 2684 statements
  MSC: 893 statements
  PEC: 23698 statements
  PER-CHAT: 17615 statements
  PersonaChat: 786 statements
  SyntheticPersonaChat: 359 statements

============================================================

Cluster Information:
  Cluster 135: 37 statements (persistence: 0.946)
  Cluster 145: 37 statements (persistence: 0.655)
  Cluster 238: 37 statements (persistence: 0.858)
  Cluster 243: 37 statements (persistence: 0.836)
  Cluster 20: 36 statements (persistence: 0.542)
  Cluster 163: 36 statements (persistence: 0.654)
  Cluster 254: 36 statements (persistence: 0.848)
  Cluster 44: 35 statements (persistence: 0.647)
  Cluster 84: 35 statements (persistence: 0.730)
  Cluster 242: 35 statements (persistence: 0.933)
  Cluster 259: 35 statements (persistence: 0.743)
  Cluster 141: 34 statements (persistence: 0.658)
  Cluster 170: 34 statements (persistence: 0.700)
  Cluster 198: 34 statements (persistence: 0.912)
  Cluster 53: 33 statements (persistence: 0.939)
  Cluster 193: 33 statements (persistence: 0.744)
  Cluster 231: 33 statements (persistence: 0.757)
  Cluster 45: 32 statements (persistence: 0.703)
  Cluster 88: 32 statements (persistence: 0.707)
  Cluster 152: 32 statements (persistence: 1.000)
  Cluster 16: 31 statements (persistence: 0.714)
  Cluster 60: 31 statements (persistence: 1.000)
  Cluster 97: 31 statements (persistence: 0.778)
  Cluster 106: 31 statements (persistence: 0.755)
  Cluster 226: 31 statements (persistence: 0.906)
  Cluster 252: 31 statements (persistence: 0.871)
  Cluster 70: 30 statements (persistence: 0.687)
  Cluster 76: 30 statements (persistence: 0.714)
  Cluster 223: 30 statements (persistence: 0.926)
  Cluster 30: 29 statements (persistence: 0.919)
  Cluster 48: 29 statements (persistence: 0.707)
  Cluster 153: 29 statements (persistence: 0.779)
  Cluster 239: 29 statements (persistence: 0.856)
  Cluster 41: 28 statements (persistence: 0.774)
  Cluster 131: 28 statements (persistence: 0.657)
  Cluster 266: 28 statements (persistence: 0.536)
  Cluster 21: 27 statements (persistence: 0.705)
  Cluster 49: 27 statements (persistence: 0.713)
  Cluster 67: 27 statements (persistence: 0.719)
  Cluster 108: 27 statements (persistence: 0.739)
  Cluster 121: 27 statements (persistence: 0.816)
  Cluster 207: 27 statements (persistence: 0.815)
  Cluster 248: 27 statements (persistence: 0.921)
  Cluster 5: 26 statements (persistence: 1.000)
  Cluster 25: 26 statements (persistence: 0.705)
  Cluster 111: 26 statements (persistence: 0.812)
  Cluster 115: 26 statements (persistence: 0.741)
  Cluster 119: 26 statements (persistence: 0.892)
  Cluster 156: 26 statements (persistence: 1.000)
  Cluster 217: 26 statements (persistence: 0.932)
  Cluster 232: 26 statements (persistence: 0.962)
  Cluster 258: 26 statements (persistence: 0.926)
  Cluster 100: 25 statements (persistence: 0.880)
  Cluster 138: 25 statements (persistence: 0.928)
  Cluster 179: 25 statements (persistence: 0.960)
  Cluster 190: 25 statements (persistence: 1.000)
  Cluster 200: 25 statements (persistence: 0.881)
  Cluster 13: 24 statements (persistence: 0.769)
  Cluster 24: 24 statements (persistence: 1.000)
  Cluster 104: 24 statements (persistence: 0.771)
  Cluster 122: 24 statements (persistence: 0.886)
  Cluster 149: 24 statements (persistence: 0.831)
  Cluster 216: 24 statements (persistence: 0.926)
  Cluster 255: 24 statements (persistence: 0.938)
  Cluster 261: 24 statements (persistence: 0.926)
  Cluster 72: 23 statements (persistence: 0.806)
  Cluster 94: 23 statements (persistence: 0.781)
  Cluster 186: 23 statements (persistence: 0.952)
  Cluster 209: 23 statements (persistence: 0.900)
  Cluster 264: 23 statements (persistence: 0.987)
  Cluster 27: 22 statements (persistence: 0.816)
  Cluster 42: 22 statements (persistence: 0.868)
  Cluster 77: 22 statements (persistence: 0.862)
  Cluster 96: 22 statements (persistence: 1.000)
  Cluster 148: 22 statements (persistence: 0.820)
  Cluster 260: 22 statements (persistence: 0.916)
  Cluster 10: 21 statements (persistence: 0.859)
  Cluster 37: 21 statements (persistence: 0.876)
  Cluster 50: 21 statements (persistence: 0.902)
  Cluster 65: 21 statements (persistence: 0.906)
  Cluster 75: 21 statements (persistence: 0.937)
  Cluster 175: 21 statements (persistence: 0.978)
  Cluster 178: 21 statements (persistence: 0.895)
  Cluster 182: 21 statements (persistence: 0.958)
  Cluster 188: 21 statements (persistence: 0.887)
  Cluster 208: 21 statements (persistence: 0.955)
  Cluster 211: 21 statements (persistence: 0.952)
  Cluster 12: 20 statements (persistence: 0.915)
  Cluster 85: 20 statements (persistence: 0.919)
  Cluster 3: 19 statements (persistence: 0.908)
  Cluster 7: 19 statements (persistence: 0.946)
  Cluster 14: 19 statements (persistence: 0.927)
  Cluster 22: 19 statements (persistence: 0.966)
  Cluster 43: 19 statements (persistence: 0.964)
  Cluster 63: 19 statements (persistence: 0.931)
  Cluster 92: 19 statements (persistence: 0.917)
  Cluster 234: 19 statements (persistence: 0.979)
  Cluster 17: 18 statements (persistence: 0.921)
  Cluster 32: 18 statements (persistence: 0.889)
  Cluster 54: 18 statements (persistence: 0.952)
  Cluster 58: 18 statements (persistence: 0.933)
  Cluster 73: 18 statements (persistence: 0.906)
  Cluster 110: 18 statements (persistence: 1.000)
  Cluster 124: 18 statements (persistence: 0.984)
  Cluster 150: 18 statements (persistence: 0.861)
  Cluster 159: 18 statements (persistence: 0.973)
  Cluster 184: 18 statements (persistence: 0.986)
  Cluster 195: 18 statements (persistence: 1.000)
  Cluster 235: 18 statements (persistence: 0.979)
  Cluster 6: 17 statements (persistence: 0.916)
  Cluster 31: 17 statements (persistence: 0.970)
  Cluster 33: 17 statements (persistence: 0.995)
  Cluster 38: 17 statements (persistence: 0.994)
  Cluster 46: 17 statements (persistence: 0.972)
  Cluster 55: 17 statements (persistence: 0.980)
  Cluster 125: 17 statements (persistence: 0.984)
  Cluster 126: 17 statements (persistence: 0.972)
  Cluster 162: 17 statements (persistence: 1.000)
  Cluster 176: 17 statements (persistence: 0.971)
  Cluster 177: 17 statements (persistence: 0.970)
  Cluster 203: 17 statements (persistence: 1.000)
  Cluster 240: 17 statements (persistence: 0.941)
  Cluster 253: 17 statements (persistence: 0.990)
  Cluster 256: 17 statements (persistence: 0.993)
  Cluster 0: 16 statements (persistence: 0.998)
  Cluster 11: 16 statements (persistence: 0.996)
  Cluster 62: 16 statements (persistence: 1.000)
  Cluster 74: 16 statements (persistence: 0.998)
  Cluster 87: 16 statements (persistence: 0.977)
  Cluster 105: 16 statements (persistence: 0.988)
  Cluster 107: 16 statements (persistence: 0.999)
  Cluster 112: 16 statements (persistence: 0.995)
  Cluster 130: 16 statements (persistence: 0.986)
  Cluster 140: 16 statements (persistence: 0.996)
  Cluster 181: 16 statements (persistence: 1.000)
  Cluster 9: 15 statements (persistence: 1.000)
  Cluster 39: 15 statements (persistence: 1.000)
  Cluster 103: 15 statements (persistence: 1.000)
  Cluster 142: 15 statements (persistence: 1.000)
  Cluster 154: 15 statements (persistence: 1.000)
  Cluster 160: 15 statements (persistence: 1.000)
  Cluster 246: 15 statements (persistence: 1.000)
  Cluster 262: 15 statements (persistence: 1.000)
  Cluster 263: 15 statements (persistence: 1.000)
