Dataset,Vectorization,Total Statements,Number of Clusters,Noise Points,Noise Percentage
PersonaChat,tfidf,4487,6,2672,59.5
SyntheticPersonaChat,tfidf,8923,5,4664,52.3
MSC,tfidf,7846,3,5236,66.7
PEC,tfidf,63868,3,38675,60.6
FoCus,tfidf,5000,7,3229,64.6
MPChat,tfidf,9313,0,9313,100.0
PER-CHAT,tfidf,67061,5,42729,63.7
PersonaChat,dense,4487,2,3553,79.2
SyntheticPersonaChat,dense,8923,3,6293,70.5
MSC,dense,7846,0,7846,100.0
PEC,dense,63868,0,63868,100.0
FoCus,dense,5000,0,5000,100.0
MPChat,dense,9313,0,9313,100.0
PER-CHAT,dense,67061,4,52829,78.8
PersonaChat,hybrid,4487,0,4487,100.0
SyntheticPersonaChat,hybrid,8923,0,8923,100.0
MSC,hybrid,7846,0,7846,100.0
PEC,hybrid,63868,0,63868,100.0
FoCus,hybrid,5000,0,5000,100.0
MPChat,hybrid,9313,0,9313,100.0
PER-CHAT,hybrid,67061,2,9595,14.3
