HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 154594
Vectorization method: tfidf
Number of clusters: 535
Number of noise points: 60427 (39.1%)
Analysis type: clusters
Timestamp: 2025-05-26 16:36:24

Dataset Distribution:
  PEC: 154594 statements

============================================================

Cluster Information:
  Cluster 283: 144 statements (persistence: 1.000)
  Cluster 358: 144 statements (persistence: 0.993)
  Cluster 434: 144 statements (persistence: 0.807)
  Cluster 234: 142 statements (persistence: 0.862)
  Cluster 146: 141 statements (persistence: 0.661)
  Cluster 13: 140 statements (persistence: 0.993)
  Cluster 37: 140 statements (persistence: 1.000)
  Cluster 104: 139 statements (persistence: 1.000)
  Cluster 164: 139 statements (persistence: 0.607)
  Cluster 108: 137 statements (persistence: 0.780)
  Cluster 277: 137 statements (persistence: 0.969)
  Cluster 21: 136 statements (persistence: 1.000)
  Cluster 128: 136 statements (persistence: 0.773)
  Cluster 161: 135 statements (persistence: 0.790)
  Cluster 312: 134 statements (persistence: 0.985)
  Cluster 385: 134 statements (persistence: 1.000)
  Cluster 352: 130 statements (persistence: 0.551)
  Cluster 9: 127 statements (persistence: 1.000)
  Cluster 374: 124 statements (persistence: 0.707)
  Cluster 386: 124 statements (persistence: 0.827)
  Cluster 427: 119 statements (persistence: 0.798)
  Cluster 194: 118 statements (persistence: 1.000)
  Cluster 223: 117 statements (persistence: 0.748)
  Cluster 268: 117 statements (persistence: 1.000)
  Cluster 417: 117 statements (persistence: 0.781)
  Cluster 90: 115 statements (persistence: 0.794)
  Cluster 350: 114 statements (persistence: 0.974)
  Cluster 193: 113 statements (persistence: 0.743)
  Cluster 370: 113 statements (persistence: 0.817)
  Cluster 309: 112 statements (persistence: 1.000)
  Cluster 95: 111 statements (persistence: 0.707)
  Cluster 185: 111 statements (persistence: 0.774)
  Cluster 203: 110 statements (persistence: 0.985)
  Cluster 440: 109 statements (persistence: 0.846)
  Cluster 75: 108 statements (persistence: 0.399)
  Cluster 115: 106 statements (persistence: 0.777)
  Cluster 256: 106 statements (persistence: 0.975)
  Cluster 416: 106 statements (persistence: 0.866)
  Cluster 291: 105 statements (persistence: 1.000)
  Cluster 119: 104 statements (persistence: 0.945)
  Cluster 150: 104 statements (persistence: 0.755)
  Cluster 148: 103 statements (persistence: 1.000)
  Cluster 78: 102 statements (persistence: 0.757)
  Cluster 304: 102 statements (persistence: 0.947)
  Cluster 280: 101 statements (persistence: 0.909)
  Cluster 131: 100 statements (persistence: 0.732)
  Cluster 441: 100 statements (persistence: 0.874)
  Cluster 464: 99 statements (persistence: 0.868)
  Cluster 138: 98 statements (persistence: 0.762)
  Cluster 249: 98 statements (persistence: 0.754)
  Cluster 474: 98 statements (persistence: 0.990)
  Cluster 166: 97 statements (persistence: 0.766)
  Cluster 412: 97 statements (persistence: 0.845)
  Cluster 345: 96 statements (persistence: 1.000)
  Cluster 226: 95 statements (persistence: 1.000)
  Cluster 69: 93 statements (persistence: 0.720)
  Cluster 413: 93 statements (persistence: 0.818)
  Cluster 17: 92 statements (persistence: 0.773)
  Cluster 371: 92 statements (persistence: 0.903)
  Cluster 191: 91 statements (persistence: 0.837)
  Cluster 351: 91 statements (persistence: 1.000)
  Cluster 447: 91 statements (persistence: 0.978)
  Cluster 428: 90 statements (persistence: 1.000)
  Cluster 470: 90 statements (persistence: 0.825)
  Cluster 74: 89 statements (persistence: 0.315)
  Cluster 274: 89 statements (persistence: 0.867)
  Cluster 113: 88 statements (persistence: 0.792)
  Cluster 85: 87 statements (persistence: 0.762)
  Cluster 102: 87 statements (persistence: 0.780)
  Cluster 301: 87 statements (persistence: 0.919)
  Cluster 430: 87 statements (persistence: 1.000)
  Cluster 450: 87 statements (persistence: 0.991)
  Cluster 135: 86 statements (persistence: 0.762)
  Cluster 235: 86 statements (persistence: 0.977)
  Cluster 279: 85 statements (persistence: 0.553)
  Cluster 426: 85 statements (persistence: 0.294)
  Cluster 117: 84 statements (persistence: 0.867)
  Cluster 125: 84 statements (persistence: 0.795)
  Cluster 238: 84 statements (persistence: 1.000)
  Cluster 92: 83 statements (persistence: 0.782)
  Cluster 15: 82 statements (persistence: 1.000)
  Cluster 153: 82 statements (persistence: 0.801)
  Cluster 165: 82 statements (persistence: 0.811)
  Cluster 237: 81 statements (persistence: 0.975)
  Cluster 243: 81 statements (persistence: 0.792)
  Cluster 246: 81 statements (persistence: 1.000)
  Cluster 263: 81 statements (persistence: 0.988)
  Cluster 123: 80 statements (persistence: 0.762)
  Cluster 129: 80 statements (persistence: 0.882)
  Cluster 42: 79 statements (persistence: 0.809)
  Cluster 98: 79 statements (persistence: 0.762)
  Cluster 106: 79 statements (persistence: 0.930)
  Cluster 414: 79 statements (persistence: 0.932)
  Cluster 463: 79 statements (persistence: 0.771)
  Cluster 288: 76 statements (persistence: 1.000)
  Cluster 335: 76 statements (persistence: 1.000)
  Cluster 375: 76 statements (persistence: 1.000)
  Cluster 487: 76 statements (persistence: 0.870)
  Cluster 206: 75 statements (persistence: 0.793)
  Cluster 284: 75 statements (persistence: 0.947)
  Cluster 367: 75 statements (persistence: 0.817)
  Cluster 77: 74 statements (persistence: 0.432)
  Cluster 174: 74 statements (persistence: 0.787)
  Cluster 156: 73 statements (persistence: 0.945)
  Cluster 444: 73 statements (persistence: 0.685)
  Cluster 20: 72 statements (persistence: 1.000)
  Cluster 25: 72 statements (persistence: 1.000)
  Cluster 208: 72 statements (persistence: 0.871)
  Cluster 254: 72 statements (persistence: 0.901)
  Cluster 269: 72 statements (persistence: 0.986)
  Cluster 343: 71 statements (persistence: 0.986)
  Cluster 363: 71 statements (persistence: 0.776)
  Cluster 448: 71 statements (persistence: 1.000)
  Cluster 380: 69 statements (persistence: 1.000)
  Cluster 383: 69 statements (persistence: 0.910)
  Cluster 260: 68 statements (persistence: 0.855)
  Cluster 100: 67 statements (persistence: 0.950)
  Cluster 126: 67 statements (persistence: 0.790)
  Cluster 53: 66 statements (persistence: 0.793)
  Cluster 303: 66 statements (persistence: 0.939)
  Cluster 381: 66 statements (persistence: 0.949)
  Cluster 71: 65 statements (persistence: 0.843)
  Cluster 405: 65 statements (persistence: 0.985)
  Cluster 122: 64 statements (persistence: 0.819)
  Cluster 136: 64 statements (persistence: 0.809)
  Cluster 139: 64 statements (persistence: 0.844)
  Cluster 171: 64 statements (persistence: 0.834)
  Cluster 210: 64 statements (persistence: 0.819)
  Cluster 233: 64 statements (persistence: 0.872)
  Cluster 89: 63 statements (persistence: 0.820)
  Cluster 276: 63 statements (persistence: 0.841)
  Cluster 406: 63 statements (persistence: 0.942)
  Cluster 111: 62 statements (persistence: 0.842)
  Cluster 322: 62 statements (persistence: 1.000)
  Cluster 395: 62 statements (persistence: 0.934)
  Cluster 431: 62 statements (persistence: 0.984)
  Cluster 65: 61 statements (persistence: 0.820)
  Cluster 479: 61 statements (persistence: 0.951)
  Cluster 29: 60 statements (persistence: 0.844)
  Cluster 221: 60 statements (persistence: 0.898)
  Cluster 436: 60 statements (persistence: 0.939)
  Cluster 471: 60 statements (persistence: 0.914)
  Cluster 1: 59 statements (persistence: 1.000)
  Cluster 116: 59 statements (persistence: 0.849)
  Cluster 181: 59 statements (persistence: 0.790)
  Cluster 183: 59 statements (persistence: 0.847)
  Cluster 184: 59 statements (persistence: 0.845)
  Cluster 250: 59 statements (persistence: 0.932)
  Cluster 342: 59 statements (persistence: 1.000)
  Cluster 394: 59 statements (persistence: 1.000)
  Cluster 491: 59 statements (persistence: 0.937)
  Cluster 151: 58 statements (persistence: 0.823)
  Cluster 265: 58 statements (persistence: 1.000)
  Cluster 372: 58 statements (persistence: 0.966)
  Cluster 378: 58 statements (persistence: 1.000)
  Cluster 94: 57 statements (persistence: 0.789)
  Cluster 144: 57 statements (persistence: 0.859)
  Cluster 495: 57 statements (persistence: 0.935)
  Cluster 177: 56 statements (persistence: 0.815)
  Cluster 421: 56 statements (persistence: 0.934)
  Cluster 437: 56 statements (persistence: 0.923)
  Cluster 5: 55 statements (persistence: 1.000)
  Cluster 40: 55 statements (persistence: 0.853)
  Cluster 124: 55 statements (persistence: 0.832)
  Cluster 313: 55 statements (persistence: 1.000)
  Cluster 323: 55 statements (persistence: 1.000)
  Cluster 476: 55 statements (persistence: 0.959)
  Cluster 505: 55 statements (persistence: 0.924)
  Cluster 44: 54 statements (persistence: 0.828)
  Cluster 114: 54 statements (persistence: 0.963)
  Cluster 299: 54 statements (persistence: 0.981)
  Cluster 324: 54 statements (persistence: 1.000)
  Cluster 353: 54 statements (persistence: 1.000)
  Cluster 423: 54 statements (persistence: 0.961)
  Cluster 460: 54 statements (persistence: 0.933)
  Cluster 105: 53 statements (persistence: 0.892)
  Cluster 340: 53 statements (persistence: 0.604)
  Cluster 408: 53 statements (persistence: 0.920)
  Cluster 422: 53 statements (persistence: 0.960)
  Cluster 59: 52 statements (persistence: 0.890)
  Cluster 305: 52 statements (persistence: 1.000)
  Cluster 465: 52 statements (persistence: 0.929)
  Cluster 492: 52 statements (persistence: 0.981)
  Cluster 494: 52 statements (persistence: 0.913)
  Cluster 63: 51 statements (persistence: 0.971)
  Cluster 110: 51 statements (persistence: 0.868)
  Cluster 121: 51 statements (persistence: 0.921)
  Cluster 207: 51 statements (persistence: 0.922)
  Cluster 287: 51 statements (persistence: 1.000)
  Cluster 393: 51 statements (persistence: 0.926)
  Cluster 439: 51 statements (persistence: 1.000)
  Cluster 452: 51 statements (persistence: 0.939)
  Cluster 496: 50 statements (persistence: 0.900)
  Cluster 76: 49 statements (persistence: 0.863)
  Cluster 261: 49 statements (persistence: 0.959)
  Cluster 489: 49 statements (persistence: 0.933)
  Cluster 499: 49 statements (persistence: 1.000)
  Cluster 248: 48 statements (persistence: 0.812)
  Cluster 432: 48 statements (persistence: 0.964)
  Cluster 33: 47 statements (persistence: 0.939)
  Cluster 107: 47 statements (persistence: 0.894)
  Cluster 112: 47 statements (persistence: 0.904)
  Cluster 172: 47 statements (persistence: 0.939)
  Cluster 275: 47 statements (persistence: 0.915)
  Cluster 407: 47 statements (persistence: 0.974)
  Cluster 488: 47 statements (persistence: 0.894)
  Cluster 28: 46 statements (persistence: 0.864)
  Cluster 154: 46 statements (persistence: 0.918)
  Cluster 404: 46 statements (persistence: 0.965)
  Cluster 501: 46 statements (persistence: 1.000)
  Cluster 232: 45 statements (persistence: 1.000)
  Cluster 289: 45 statements (persistence: 0.974)
  Cluster 331: 45 statements (persistence: 0.978)
  Cluster 451: 45 statements (persistence: 0.976)
  Cluster 19: 44 statements (persistence: 0.946)
  Cluster 91: 44 statements (persistence: 0.932)
  Cluster 346: 44 statements (persistence: 1.000)
  Cluster 34: 43 statements (persistence: 0.943)
  Cluster 86: 43 statements (persistence: 0.914)
  Cluster 118: 43 statements (persistence: 0.896)
  Cluster 168: 43 statements (persistence: 1.000)
  Cluster 178: 43 statements (persistence: 0.901)
  Cluster 180: 43 statements (persistence: 0.941)
  Cluster 477: 43 statements (persistence: 0.977)
  Cluster 483: 43 statements (persistence: 0.977)
  Cluster 510: 43 statements (persistence: 0.976)
  Cluster 523: 43 statements (persistence: 0.814)
  Cluster 525: 43 statements (persistence: 0.977)
  Cluster 132: 42 statements (persistence: 0.909)
  Cluster 134: 42 statements (persistence: 0.940)
  Cluster 162: 41 statements (persistence: 1.000)
  Cluster 227: 41 statements (persistence: 0.966)
  Cluster 334: 41 statements (persistence: 1.000)
  Cluster 364: 41 statements (persistence: 0.951)
  Cluster 472: 41 statements (persistence: 0.976)
  Cluster 97: 40 statements (persistence: 0.957)
  Cluster 145: 40 statements (persistence: 0.862)
  Cluster 188: 40 statements (persistence: 0.850)
  Cluster 247: 40 statements (persistence: 0.985)
  Cluster 262: 40 statements (persistence: 0.930)
  Cluster 399: 40 statements (persistence: 0.975)
  Cluster 429: 40 statements (persistence: 0.970)
  Cluster 433: 40 statements (persistence: 0.950)
  Cluster 490: 40 statements (persistence: 0.968)
  Cluster 517: 40 statements (persistence: 0.975)
  Cluster 93: 39 statements (persistence: 0.980)
  Cluster 209: 39 statements (persistence: 0.760)
  Cluster 377: 39 statements (persistence: 0.974)
  Cluster 402: 39 statements (persistence: 1.000)
  Cluster 438: 39 statements (persistence: 0.980)
  Cluster 445: 39 statements (persistence: 0.991)
  Cluster 466: 39 statements (persistence: 0.983)
  Cluster 503: 39 statements (persistence: 0.974)
  Cluster 516: 39 statements (persistence: 0.988)
  Cluster 36: 38 statements (persistence: 0.953)
  Cluster 133: 38 statements (persistence: 0.965)
  Cluster 149: 38 statements (persistence: 0.983)
  Cluster 270: 38 statements (persistence: 0.985)
  Cluster 295: 38 statements (persistence: 1.000)
  Cluster 497: 38 statements (persistence: 0.974)
  Cluster 522: 38 statements (persistence: 0.816)
  Cluster 43: 37 statements (persistence: 0.909)
  Cluster 58: 37 statements (persistence: 0.966)
  Cluster 130: 37 statements (persistence: 0.967)
  Cluster 202: 37 statements (persistence: 0.969)
  Cluster 360: 37 statements (persistence: 1.000)
  Cluster 57: 36 statements (persistence: 0.944)
  Cluster 66: 36 statements (persistence: 0.824)
  Cluster 72: 36 statements (persistence: 0.953)
  Cluster 175: 36 statements (persistence: 0.967)
  Cluster 272: 36 statements (persistence: 0.943)
  Cluster 307: 36 statements (persistence: 0.972)
  Cluster 396: 36 statements (persistence: 1.000)
  Cluster 401: 36 statements (persistence: 1.000)
  Cluster 531: 36 statements (persistence: 0.861)
  Cluster 101: 35 statements (persistence: 0.966)
  Cluster 297: 35 statements (persistence: 0.886)
  Cluster 418: 35 statements (persistence: 1.000)
  Cluster 425: 35 statements (persistence: 1.000)
  Cluster 26: 34 statements (persistence: 0.965)
  Cluster 79: 34 statements (persistence: 0.999)
  Cluster 212: 34 statements (persistence: 0.975)
  Cluster 316: 34 statements (persistence: 0.971)
  Cluster 411: 34 statements (persistence: 1.000)
  Cluster 481: 34 statements (persistence: 0.991)
  Cluster 511: 34 statements (persistence: 0.964)
  Cluster 512: 34 statements (persistence: 0.824)
  Cluster 513: 34 statements (persistence: 0.824)
  Cluster 519: 34 statements (persistence: 0.980)
  Cluster 24: 33 statements (persistence: 0.974)
  Cluster 41: 33 statements (persistence: 0.968)
  Cluster 48: 33 statements (persistence: 0.939)
  Cluster 50: 33 statements (persistence: 0.987)
  Cluster 52: 33 statements (persistence: 0.975)
  Cluster 55: 33 statements (persistence: 0.973)
  Cluster 186: 33 statements (persistence: 0.909)
  Cluster 198: 33 statements (persistence: 0.939)
  Cluster 361: 33 statements (persistence: 0.970)
  Cluster 400: 33 statements (persistence: 1.000)
  Cluster 468: 33 statements (persistence: 0.989)
  Cluster 509: 33 statements (persistence: 0.848)
  Cluster 73: 32 statements (persistence: 0.988)
  Cluster 80: 32 statements (persistence: 0.987)
  Cluster 224: 32 statements (persistence: 0.978)
  Cluster 229: 32 statements (persistence: 0.999)
  Cluster 230: 32 statements (persistence: 0.971)
  Cluster 240: 32 statements (persistence: 0.993)
  Cluster 242: 32 statements (persistence: 1.000)
  Cluster 454: 32 statements (persistence: 0.989)
  Cluster 457: 32 statements (persistence: 0.969)
  Cluster 518: 32 statements (persistence: 0.875)
  Cluster 521: 32 statements (persistence: 0.938)
  Cluster 524: 32 statements (persistence: 0.969)
  Cluster 526: 32 statements (persistence: 0.999)
  Cluster 530: 32 statements (persistence: 0.906)
  Cluster 83: 31 statements (persistence: 0.994)
  Cluster 127: 31 statements (persistence: 0.965)
  Cluster 253: 31 statements (persistence: 0.968)
  Cluster 327: 31 statements (persistence: 0.984)
  Cluster 443: 31 statements (persistence: 0.994)
