HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 12093
Vectorization method: hybrid
Number of clusters: 188
Number of noise points: 5629 (46.5%)
Analysis type: clusters
Timestamp: 2025-05-27 17:18:46

Dataset Distribution:
  FoCus: 243 statements
  MPChat: 773 statements
  MSC: 262 statements
  PEC: 6017 statements
  PER-CHAT: 4369 statements
  PersonaChat: 244 statements
  SyntheticPersonaChat: 185 statements

============================================================

Cluster Information:
  Cluster 187: 517 statements (persistence: 0.967)
  Cluster 40: 356 statements (persistence: 0.115)
  Cluster 138: 355 statements (persistence: 0.128)
  Cluster 49: 322 statements (persistence: 0.674)
  Cluster 108: 256 statements (persistence: 0.097)
  Cluster 137: 184 statements (persistence: 0.138)
  Cluster 46: 158 statements (persistence: 0.125)
  Cluster 30: 148 statements (persistence: 0.192)
  Cluster 22: 134 statements (persistence: 0.221)
  Cluster 12: 128 statements (persistence: 0.516)
  Cluster 127: 127 statements (persistence: 0.171)
  Cluster 120: 120 statements (persistence: 0.249)
  Cluster 125: 119 statements (persistence: 0.580)
  Cluster 81: 117 statements (persistence: 0.593)
  Cluster 80: 93 statements (persistence: 0.172)
  Cluster 1: 92 statements (persistence: 0.279)
  Cluster 117: 89 statements (persistence: 0.418)
  Cluster 84: 88 statements (persistence: 0.605)
  Cluster 154: 85 statements (persistence: 0.312)
  Cluster 90: 81 statements (persistence: 0.194)
  Cluster 163: 81 statements (persistence: 0.419)
  Cluster 146: 80 statements (persistence: 0.226)
  Cluster 0: 79 statements (persistence: 0.326)
  Cluster 15: 75 statements (persistence: 0.771)
  Cluster 132: 73 statements (persistence: 0.207)
  Cluster 68: 63 statements (persistence: 0.462)
  Cluster 77: 63 statements (persistence: 0.268)
  Cluster 158: 63 statements (persistence: 0.437)
  Cluster 106: 60 statements (persistence: 0.399)
  Cluster 66: 58 statements (persistence: 0.422)
  Cluster 143: 57 statements (persistence: 0.463)
  Cluster 26: 48 statements (persistence: 0.402)
  Cluster 104: 46 statements (persistence: 0.355)
  Cluster 134: 46 statements (persistence: 0.474)
  Cluster 93: 44 statements (persistence: 0.407)
  Cluster 76: 41 statements (persistence: 0.353)
  Cluster 150: 41 statements (persistence: 0.535)
  Cluster 20: 40 statements (persistence: 0.403)
  Cluster 102: 40 statements (persistence: 0.482)
  Cluster 111: 35 statements (persistence: 0.640)
  Cluster 103: 34 statements (persistence: 0.482)
  Cluster 184: 34 statements (persistence: 0.553)
  Cluster 97: 32 statements (persistence: 0.649)
  Cluster 148: 32 statements (persistence: 0.703)
  Cluster 135: 31 statements (persistence: 0.393)
  Cluster 86: 30 statements (persistence: 0.472)
  Cluster 123: 30 statements (persistence: 0.467)
  Cluster 162: 30 statements (persistence: 0.616)
  Cluster 179: 30 statements (persistence: 0.482)
  Cluster 35: 27 statements (persistence: 0.571)
  Cluster 164: 27 statements (persistence: 0.710)
  Cluster 41: 26 statements (persistence: 0.547)
  Cluster 53: 26 statements (persistence: 0.788)
  Cluster 141: 23 statements (persistence: 0.507)
  Cluster 21: 22 statements (persistence: 0.742)
  Cluster 105: 22 statements (persistence: 0.598)
  Cluster 39: 21 statements (persistence: 0.634)
  Cluster 115: 21 statements (persistence: 0.557)
  Cluster 166: 21 statements (persistence: 0.755)
  Cluster 96: 19 statements (persistence: 0.456)
  Cluster 149: 19 statements (persistence: 0.678)
  Cluster 136: 18 statements (persistence: 0.679)
  Cluster 151: 18 statements (persistence: 0.662)
  Cluster 178: 18 statements (persistence: 0.883)
  Cluster 47: 17 statements (persistence: 0.584)
  Cluster 27: 16 statements (persistence: 0.576)
  Cluster 36: 16 statements (persistence: 0.640)
  Cluster 29: 15 statements (persistence: 0.612)
  Cluster 58: 15 statements (persistence: 0.503)
  Cluster 113: 15 statements (persistence: 0.769)
  Cluster 144: 15 statements (persistence: 0.716)
  Cluster 186: 15 statements (persistence: 0.937)
  Cluster 43: 14 statements (persistence: 0.637)
  Cluster 63: 14 statements (persistence: 0.666)
  Cluster 114: 14 statements (persistence: 0.899)
  Cluster 142: 14 statements (persistence: 0.626)
  Cluster 167: 14 statements (persistence: 0.793)
  Cluster 42: 13 statements (persistence: 0.907)
  Cluster 70: 13 statements (persistence: 0.756)
  Cluster 116: 13 statements (persistence: 0.786)
  Cluster 119: 13 statements (persistence: 0.850)
  Cluster 161: 13 statements (persistence: 0.751)
  Cluster 5: 12 statements (persistence: 0.849)
  Cluster 10: 12 statements (persistence: 0.909)
  Cluster 37: 12 statements (persistence: 0.826)
  Cluster 57: 12 statements (persistence: 0.693)
  Cluster 64: 12 statements (persistence: 0.790)
  Cluster 69: 12 statements (persistence: 0.769)
  Cluster 109: 12 statements (persistence: 0.810)
  Cluster 128: 12 statements (persistence: 0.791)
  Cluster 139: 12 statements (persistence: 0.693)
  Cluster 175: 12 statements (persistence: 0.995)
  Cluster 176: 12 statements (persistence: 0.931)
  Cluster 185: 12 statements (persistence: 0.975)
  Cluster 14: 11 statements (persistence: 0.976)
  Cluster 38: 11 statements (persistence: 0.618)
  Cluster 54: 11 statements (persistence: 0.930)
  Cluster 71: 11 statements (persistence: 0.782)
  Cluster 130: 11 statements (persistence: 0.926)
  Cluster 131: 11 statements (persistence: 0.902)
  Cluster 155: 11 statements (persistence: 0.747)
  Cluster 171: 11 statements (persistence: 0.866)
  Cluster 183: 11 statements (persistence: 0.988)
  Cluster 3: 10 statements (persistence: 0.949)
  Cluster 45: 10 statements (persistence: 0.800)
