Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,692,29,211,30.491329479768787,16.586206896551722,0.42672282533575334,32
SyntheticPersonaChat,759,27,277,36.49538866930172,17.85185185185185,0.5171064796068967,32
MSC,1245,38,564,45.30120481927711,17.92105263157895,0.47722743371419785,32
PEC,20479,356,11064,54.02607549196738,26.446629213483146,0.5097783190172767,32
FoCus,813,32,244,30.01230012300123,17.78125,0.616901842636644,32
MPChat,2597,59,980,37.735849056603776,27.406779661016948,0.38319866973597194,32
PER-CHAT,15536,157,8754,56.3465499485067,43.197452229299365,0.452263274567265,32
