category,count,percentage
Uncategorized,5618,41.98%
Preferences_Interests,2367,17.69%
Personality_Traits,1965,14.68%
Personal_Background,1076,8.04%
Demographics,989,7.39%
Goals_Aspirations,558,4.17%
Habits_Routines,463,3.46%
Social_Relationships,346,2.59%
