Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,981,4,848,86.44240570846075,33.25,0.32555816575243746,16
SyntheticPersonaChat,1045,3,872,83.44497607655502,57.666666666666664,0.2777797418653193,16
MSC,1898,8,1594,83.9831401475237,38.0,0.3699091145907681,16
PEC,33064,19,26791,81.02770384708444,330.1578947368421,0.295771474795522,16
FoCus,1270,9,897,70.62992125984252,41.44444444444444,0.31514400299475476,16
MPChat,4177,15,3407,81.56571702178597,51.333333333333336,0.2760376673775731,16
PER-CHAT,26941,17,23695,87.95144946364277,190.94117647058823,0.36527332727746525,16
