Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,786,8,620,78.88040712468194,20.75,0.20709019590067945,16
SyntheticPersonaChat,864,7,694,80.32407407407408,24.285714285714285,0.21923888967112712,16
MSC,1455,6,1287,88.45360824742268,28.0,0.2959977773516548,16
PEC,24320,24,23125,95.08634868421053,49.791666666666664,0.20530827788933273,16
FoCus,950,9,796,83.78947368421052,17.11111111111111,0.24781142361348923,16
MPChat,3015,7,2717,90.11608623548922,42.57142857142857,0.16105318764638227,16
PER-CHAT,19148,20,17658,92.21850846041362,74.5,0.2725746107630391,16
