HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 8359
Vectorization method: hybrid
Number of clusters: 175
Number of noise points: 4621 (55.3%)
Analysis type: clusters
Timestamp: 2025-05-27 15:12:08

Dataset Distribution:
  PER-CHAT: 8359 statements

============================================================

Cluster Information:
  Cluster 174: 564 statements (persistence: 0.937)
  Cluster 171: 444 statements (persistence: 0.755)
  Cluster 173: 159 statements (persistence: 0.983)
  Cluster 58: 69 statements (persistence: 0.251)
  Cluster 47: 65 statements (persistence: 0.212)
  Cluster 128: 64 statements (persistence: 0.344)
  Cluster 138: 54 statements (persistence: 0.315)
  Cluster 87: 51 statements (persistence: 0.223)
  Cluster 143: 51 statements (persistence: 0.374)
  Cluster 124: 50 statements (persistence: 0.239)
  Cluster 157: 50 statements (persistence: 0.346)
  Cluster 142: 46 statements (persistence: 0.246)
  Cluster 37: 45 statements (persistence: 0.195)
  Cluster 165: 44 statements (persistence: 0.263)
  Cluster 103: 42 statements (persistence: 0.275)
  Cluster 59: 41 statements (persistence: 0.261)
  Cluster 5: 40 statements (persistence: 0.804)
  Cluster 92: 40 statements (persistence: 0.440)
  Cluster 25: 39 statements (persistence: 0.264)
  Cluster 133: 39 statements (persistence: 0.277)
  Cluster 122: 38 statements (persistence: 0.355)
  Cluster 148: 38 statements (persistence: 0.561)
  Cluster 126: 36 statements (persistence: 0.511)
  Cluster 169: 36 statements (persistence: 0.362)
  Cluster 76: 34 statements (persistence: 0.299)
  Cluster 105: 33 statements (persistence: 0.294)
  Cluster 135: 33 statements (persistence: 0.470)
  Cluster 150: 33 statements (persistence: 0.425)
  Cluster 63: 32 statements (persistence: 0.411)
  Cluster 161: 32 statements (persistence: 0.498)
  Cluster 79: 30 statements (persistence: 0.385)
  Cluster 66: 29 statements (persistence: 0.293)
  Cluster 109: 29 statements (persistence: 0.379)
  Cluster 140: 29 statements (persistence: 0.255)
  Cluster 106: 28 statements (persistence: 0.347)
  Cluster 113: 28 statements (persistence: 0.402)
  Cluster 4: 27 statements (persistence: 0.908)
  Cluster 73: 27 statements (persistence: 0.330)
  Cluster 99: 27 statements (persistence: 0.384)
  Cluster 159: 26 statements (persistence: 0.417)
  Cluster 23: 25 statements (persistence: 0.600)
  Cluster 147: 25 statements (persistence: 0.330)
  Cluster 43: 23 statements (persistence: 0.423)
  Cluster 44: 23 statements (persistence: 0.518)
  Cluster 129: 22 statements (persistence: 0.529)
  Cluster 57: 20 statements (persistence: 0.570)
  Cluster 81: 19 statements (persistence: 0.846)
  Cluster 90: 19 statements (persistence: 0.568)
  Cluster 144: 18 statements (persistence: 0.605)
  Cluster 32: 17 statements (persistence: 0.769)
  Cluster 120: 17 statements (persistence: 0.602)
  Cluster 1: 16 statements (persistence: 0.719)
  Cluster 55: 16 statements (persistence: 0.714)
  Cluster 145: 15 statements (persistence: 0.940)
  Cluster 33: 12 statements (persistence: 0.841)
  Cluster 61: 12 statements (persistence: 0.982)
  Cluster 163: 12 statements (persistence: 0.738)
  Cluster 29: 11 statements (persistence: 0.883)
  Cluster 46: 11 statements (persistence: 0.966)
  Cluster 48: 11 statements (persistence: 0.976)
  Cluster 83: 11 statements (persistence: 0.856)
  Cluster 86: 11 statements (persistence: 0.872)
  Cluster 89: 11 statements (persistence: 0.835)
  Cluster 112: 11 statements (persistence: 0.802)
  Cluster 75: 10 statements (persistence: 0.782)
  Cluster 96: 10 statements (persistence: 0.668)
  Cluster 100: 10 statements (persistence: 0.705)
  Cluster 111: 10 statements (persistence: 0.764)
  Cluster 119: 10 statements (persistence: 0.846)
  Cluster 131: 10 statements (persistence: 0.736)
  Cluster 168: 10 statements (persistence: 0.976)
  Cluster 2: 9 statements (persistence: 0.960)
  Cluster 8: 9 statements (persistence: 0.966)
  Cluster 12: 9 statements (persistence: 0.992)
  Cluster 15: 9 statements (persistence: 0.835)
  Cluster 17: 9 statements (persistence: 0.869)
  Cluster 21: 9 statements (persistence: 0.948)
  Cluster 38: 9 statements (persistence: 0.971)
  Cluster 65: 9 statements (persistence: 0.865)
  Cluster 67: 9 statements (persistence: 0.843)
  Cluster 72: 9 statements (persistence: 0.897)
  Cluster 118: 9 statements (persistence: 0.800)
  Cluster 7: 8 statements (persistence: 0.989)
  Cluster 11: 8 statements (persistence: 0.996)
  Cluster 30: 8 statements (persistence: 0.932)
  Cluster 39: 8 statements (persistence: 0.899)
  Cluster 53: 8 statements (persistence: 0.852)
  Cluster 62: 8 statements (persistence: 0.822)
  Cluster 77: 8 statements (persistence: 0.884)
  Cluster 115: 8 statements (persistence: 0.862)
  Cluster 116: 8 statements (persistence: 0.684)
  Cluster 139: 8 statements (persistence: 0.973)
  Cluster 151: 8 statements (persistence: 0.773)
  Cluster 158: 8 statements (persistence: 0.983)
  Cluster 170: 8 statements (persistence: 0.870)
  Cluster 6: 7 statements (persistence: 0.885)
  Cluster 14: 7 statements (persistence: 0.917)
  Cluster 16: 7 statements (persistence: 1.000)
  Cluster 19: 7 statements (persistence: 0.992)
  Cluster 22: 7 statements (persistence: 0.978)
  Cluster 28: 7 statements (persistence: 1.000)
  Cluster 54: 7 statements (persistence: 0.976)
  Cluster 70: 7 statements (persistence: 0.975)
  Cluster 117: 7 statements (persistence: 0.997)
  Cluster 130: 7 statements (persistence: 0.955)
  Cluster 132: 7 statements (persistence: 1.000)
  Cluster 136: 7 statements (persistence: 0.999)
  Cluster 141: 7 statements (persistence: 0.986)
  Cluster 149: 7 statements (persistence: 0.950)
  Cluster 164: 7 statements (persistence: 0.917)
  Cluster 166: 7 statements (persistence: 0.932)
  Cluster 3: 6 statements (persistence: 0.904)
  Cluster 9: 6 statements (persistence: 0.957)
  Cluster 13: 6 statements (persistence: 0.946)
  Cluster 18: 6 statements (persistence: 0.980)
  Cluster 24: 6 statements (persistence: 0.999)
  Cluster 34: 6 statements (persistence: 0.977)
  Cluster 42: 6 statements (persistence: 0.969)
  Cluster 52: 6 statements (persistence: 1.000)
  Cluster 64: 6 statements (persistence: 1.000)
  Cluster 69: 6 statements (persistence: 0.972)
  Cluster 71: 6 statements (persistence: 0.986)
  Cluster 78: 6 statements (persistence: 1.000)
  Cluster 84: 6 statements (persistence: 0.998)
  Cluster 85: 6 statements (persistence: 0.938)
  Cluster 91: 6 statements (persistence: 1.000)
  Cluster 93: 6 statements (persistence: 0.996)
  Cluster 95: 6 statements (persistence: 0.948)
  Cluster 98: 6 statements (persistence: 0.993)
  Cluster 101: 6 statements (persistence: 1.000)
  Cluster 102: 6 statements (persistence: 0.964)
  Cluster 108: 6 statements (persistence: 0.985)
  Cluster 146: 6 statements (persistence: 1.000)
  Cluster 167: 6 statements (persistence: 0.981)
  Cluster 0: 5 statements (persistence: 1.000)
  Cluster 10: 5 statements (persistence: 1.000)
  Cluster 20: 5 statements (persistence: 1.000)
  Cluster 26: 5 statements (persistence: 1.000)
  Cluster 27: 5 statements (persistence: 1.000)
  Cluster 31: 5 statements (persistence: 1.000)
  Cluster 35: 5 statements (persistence: 1.000)
  Cluster 36: 5 statements (persistence: 1.000)
  Cluster 40: 5 statements (persistence: 1.000)
  Cluster 41: 5 statements (persistence: 1.000)
  Cluster 45: 5 statements (persistence: 1.000)
  Cluster 49: 5 statements (persistence: 1.000)
  Cluster 50: 5 statements (persistence: 1.000)
  Cluster 51: 5 statements (persistence: 1.000)
  Cluster 56: 5 statements (persistence: 1.000)
  Cluster 60: 5 statements (persistence: 1.000)
  Cluster 68: 5 statements (persistence: 1.000)
  Cluster 74: 5 statements (persistence: 1.000)
  Cluster 80: 5 statements (persistence: 1.000)
  Cluster 82: 5 statements (persistence: 1.000)
  Cluster 88: 5 statements (persistence: 1.000)
