Dataset,Total_Statements,Number_of_Clusters,Diversity_Score,Silhouette_Score,trial,vectorization,sample_size,n_clusters,linkage,metric,tfidf_weight,pca_components,clustering_mode
Combined,43997,25,0.008084417038833431,0.27567645530303797,60,hybrid,250,25,average,euclidean,0.5,64,combined
Combined,86137,35,0.47565482383306046,0.022883057594299316,61,dense,500,35,complete,euclidean,,64,combined
Combined,43997,25,0.04840491629297392,0.40058237901306415,62,tfidf,250,25,complete,euclidean,,32,combined
Combined,86137,30,0.004688861166369011,0.24846997670634619,63,hybrid,500,30,single,euclidean,0.5,32,combined
Combined,43997,25,0.007625324755062123,0.4508530880903202,64,hybrid,250,25,single,euclidean,0.9,32,combined
Combined,61499,17,0.0647067545561682,0.22119502739052266,65,tfidf,350,17,ward,euclidean,,64,combined
Combined,43997,10,0.35228198615528694,0.0707344114780426,66,dense,250,10,ward,euclidean,,32,combined
Combined,61499,24,0.07170426461072647,0.4325535921575567,67,tfidf,350,24,ward,euclidean,,32,combined
Combined,43997,10,0.04983235292166741,0.41433013738272645,68,tfidf,250,10,single,euclidean,,48,combined
Combined,61499,35,0.004729002507922975,0.47419337154468405,69,tfidf,350,35,average,euclidean,,32,combined
Combined,61499,17,0.019247196559342834,0.32499139725710063,70,hybrid,350,17,average,euclidean,0.5,64,combined
Combined,61499,35,0.03660944638251844,0.03487122431397438,71,dense,350,35,average,euclidean,,48,combined
Combined,86137,75,0.5144582639200588,0.04596315695131763,72,hybrid,500,75,ward,euclidean,0.3,32,combined
Combined,43997,12,0.06749619601720243,0.02762696146965027,73,dense,250,12,average,euclidean,,32,combined
Combined,43997,25,0.00772313328961743,0.27957087422618837,74,hybrid,250,25,single,euclidean,0.5,32,combined
Combined,61499,24,0.5560990765764278,0.059578850865364075,75,dense,350,24,ward,euclidean,,32,combined
Combined,86137,75,0.010507794865830741,0.40605330018281155,76,tfidf,500,75,complete,euclidean,,32,combined
Combined,86137,25,0.008468949018691312,0.5181662390831101,77,hybrid,500,25,average,euclidean,0.9,48,combined
Combined,43997,25,0.00747843421129549,0.24051810780031183,78,hybrid,250,25,single,euclidean,0.5,48,combined
Combined,43997,37,0.002551972294791517,0.27746944025646136,79,tfidf,250,37,single,euclidean,,64,combined
Combined,86137,20,0.014802528441979854,0.5746576775701796,80,hybrid,500,20,average,euclidean,0.9,32,combined
Combined,61499,35,0.0029450384292611562,0.05211095843733219,81,hybrid,350,35,single,euclidean,0.3,48,combined
Combined,43997,12,0.08797027177603015,0.18653543420375907,82,tfidf,250,12,ward,euclidean,,64,combined
Combined,86137,25,0.5578895851835923,0.030559130012989044,83,dense,500,25,complete,euclidean,,32,combined
Combined,43997,15,0.024117279208409354,0.48997308537715933,84,hybrid,250,15,single,euclidean,0.9,32,combined
Combined,43997,12,0.0363168488858637,0.3794209319582515,85,tfidf,250,12,single,euclidean,,48,combined
Combined,61499,52,0.08961074478416975,0.47955700227304077,86,tfidf,350,52,ward,euclidean,,32,combined
Combined,43997,10,0.04983235292166741,0.4151544216225253,87,tfidf,250,10,single,euclidean,,48,combined
Combined,43997,37,0.5847577451536856,0.03128720447421074,88,dense,250,37,complete,euclidean,,32,combined
Combined,43997,37,0.0041642322869379885,0.44136554677899503,89,tfidf,250,37,average,euclidean,,48,combined
Combined,61499,35,0.0030132405036873327,0.2758682405102338,90,tfidf,350,35,single,euclidean,,48,combined
Combined,43997,25,0.0074749654282659575,-0.11847089231014252,91,dense,250,25,single,euclidean,,32,combined
Combined,61499,35,0.004725726479385359,0.4886441018434469,92,tfidf,350,35,average,euclidean,,32,combined
Combined,43997,37,0.0028982715589099483,0.4558240176732776,93,hybrid,250,37,average,euclidean,0.9,64,combined
Combined,86137,25,0.008174193094405341,0.47071298508119636,94,hybrid,500,25,average,euclidean,0.7,48,combined
Combined,86137,75,0.4854315470097684,0.022189365699887276,95,dense,500,75,complete,euclidean,,64,combined
Combined,43997,15,0.023745037094505983,0.08191361089199303,96,hybrid,250,15,single,euclidean,0.3,48,combined
Combined,86137,25,0.5997149539148539,0.024709198623895645,97,dense,500,25,complete,euclidean,,48,combined
Combined,86137,35,0.5027851935525882,0.06190476939082146,98,dense,500,35,ward,euclidean,,32,combined
Combined,43997,12,0.03632282225767061,0.492838231434155,99,hybrid,250,12,single,euclidean,0.9,32,combined
Combined,43997,25,0.019263428453314548,0.1669275352953944,100,hybrid,250,25,complete,euclidean,0.7,64,combined
