Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,692,0,692,100.0,0.0,-1.0,48
SyntheticPersonaChat,759,0,759,100.0,0.0,-1.0,48
MSC,1245,2,1130,90.76305220883533,57.5,0.19598086178302765,48
PEC,20479,2,19718,96.28399824210166,380.5,0.11892841756343842,48
FoCus,813,0,813,100.0,0.0,-1.0,48
MPChat,2597,2,2326,89.5648825567963,135.5,0.142672598361969,48
PER-CHAT,15536,4,13872,89.28939237899073,416.0,0.29062914848327637,48
