HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 15829
Vectorization method: tfidf
Number of clusters: 102
Number of noise points: 9964 (62.9%)
Analysis type: clusters
Timestamp: 2025-05-27 17:03:37

Dataset Distribution:
  PEC: 15829 statements

============================================================

Cluster Information:
  Cluster 31: 582 statements (persistence: 0.308)
  Cluster 101: 314 statements (persistence: 1.000)
  Cluster 66: 241 statements (persistence: 0.582)
  Cluster 50: 219 statements (persistence: 0.579)
  Cluster 6: 205 statements (persistence: 0.457)
  Cluster 36: 166 statements (persistence: 0.452)
  Cluster 37: 163 statements (persistence: 0.765)
  Cluster 35: 146 statements (persistence: 0.264)
  Cluster 22: 130 statements (persistence: 0.382)
  Cluster 23: 122 statements (persistence: 0.307)
  Cluster 64: 122 statements (persistence: 0.535)
  Cluster 76: 119 statements (persistence: 0.648)
  Cluster 48: 114 statements (persistence: 1.000)
  Cluster 69: 107 statements (persistence: 0.358)
  Cluster 81: 95 statements (persistence: 0.442)
  Cluster 42: 94 statements (persistence: 0.328)
  Cluster 60: 94 statements (persistence: 0.401)
  Cluster 52: 82 statements (persistence: 0.400)
  Cluster 80: 82 statements (persistence: 0.542)
  Cluster 78: 81 statements (persistence: 0.514)
  Cluster 68: 76 statements (persistence: 0.693)
  Cluster 46: 74 statements (persistence: 0.609)
  Cluster 83: 71 statements (persistence: 0.654)
  Cluster 13: 70 statements (persistence: 0.462)
  Cluster 72: 68 statements (persistence: 0.670)
  Cluster 63: 61 statements (persistence: 1.000)
  Cluster 12: 60 statements (persistence: 0.471)
  Cluster 21: 57 statements (persistence: 0.689)
  Cluster 44: 55 statements (persistence: 0.479)
  Cluster 5: 54 statements (persistence: 0.548)
  Cluster 71: 54 statements (persistence: 0.723)
  Cluster 61: 53 statements (persistence: 0.644)
  Cluster 20: 49 statements (persistence: 0.581)
  Cluster 55: 48 statements (persistence: 0.565)
  Cluster 97: 46 statements (persistence: 0.767)
  Cluster 11: 44 statements (persistence: 0.600)
  Cluster 86: 44 statements (persistence: 0.804)
  Cluster 53: 43 statements (persistence: 0.860)
  Cluster 82: 43 statements (persistence: 0.868)
  Cluster 70: 42 statements (persistence: 0.808)
  Cluster 3: 37 statements (persistence: 0.719)
  Cluster 32: 37 statements (persistence: 0.864)
  Cluster 2: 36 statements (persistence: 0.614)
  Cluster 26: 34 statements (persistence: 0.576)
  Cluster 73: 34 statements (persistence: 0.899)
  Cluster 77: 34 statements (persistence: 0.954)
  Cluster 9: 33 statements (persistence: 0.749)
  Cluster 18: 33 statements (persistence: 0.679)
  Cluster 38: 33 statements (persistence: 1.000)
  Cluster 24: 32 statements (persistence: 0.711)
  Cluster 33: 32 statements (persistence: 0.836)
  Cluster 84: 32 statements (persistence: 0.927)
  Cluster 58: 31 statements (persistence: 0.821)
  Cluster 93: 31 statements (persistence: 0.876)
  Cluster 98: 30 statements (persistence: 0.874)
  Cluster 100: 30 statements (persistence: 0.826)
  Cluster 40: 28 statements (persistence: 1.000)
  Cluster 59: 28 statements (persistence: 1.000)
  Cluster 10: 27 statements (persistence: 0.686)
  Cluster 17: 27 statements (persistence: 0.793)
  Cluster 19: 27 statements (persistence: 0.815)
  Cluster 62: 27 statements (persistence: 0.927)
  Cluster 16: 26 statements (persistence: 0.764)
  Cluster 27: 26 statements (persistence: 0.786)
  Cluster 39: 26 statements (persistence: 0.855)
  Cluster 54: 26 statements (persistence: 1.000)
  Cluster 79: 25 statements (persistence: 0.959)
  Cluster 89: 25 statements (persistence: 0.937)
  Cluster 57: 24 statements (persistence: 0.955)
  Cluster 91: 24 statements (persistence: 0.927)
  Cluster 1: 23 statements (persistence: 0.844)
  Cluster 7: 23 statements (persistence: 0.855)
  Cluster 49: 23 statements (persistence: 0.928)
  Cluster 29: 22 statements (persistence: 1.000)
  Cluster 51: 22 statements (persistence: 1.000)
  Cluster 99: 22 statements (persistence: 0.874)
  Cluster 8: 21 statements (persistence: 0.879)
  Cluster 65: 20 statements (persistence: 0.979)
  Cluster 67: 20 statements (persistence: 1.000)
  Cluster 74: 20 statements (persistence: 0.900)
  Cluster 30: 19 statements (persistence: 0.887)
  Cluster 92: 19 statements (persistence: 1.000)
  Cluster 0: 18 statements (persistence: 0.984)
  Cluster 25: 18 statements (persistence: 0.908)
  Cluster 41: 18 statements (persistence: 0.990)
  Cluster 45: 18 statements (persistence: 0.994)
  Cluster 28: 17 statements (persistence: 0.999)
  Cluster 34: 17 statements (persistence: 0.998)
  Cluster 43: 17 statements (persistence: 1.000)
  Cluster 94: 17 statements (persistence: 0.996)
  Cluster 47: 16 statements (persistence: 1.000)
  Cluster 56: 16 statements (persistence: 1.000)
  Cluster 75: 16 statements (persistence: 0.993)
  Cluster 90: 16 statements (persistence: 1.000)
  Cluster 95: 16 statements (persistence: 0.996)
  Cluster 96: 16 statements (persistence: 0.999)
  Cluster 4: 15 statements (persistence: 1.000)
  Cluster 14: 15 statements (persistence: 1.000)
  Cluster 15: 15 statements (persistence: 1.000)
  Cluster 85: 15 statements (persistence: 1.000)
  Cluster 87: 15 statements (persistence: 1.000)
  Cluster 88: 15 statements (persistence: 1.000)
