Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,426,33,69,16.19718309859155,10.818181818181818,0.46862307629181865,32
SyntheticPersonaChat,475,35,99,20.842105263157894,10.742857142857142,0.398221633549596,32
MSC,718,41,231,32.17270194986072,11.878048780487806,0.43754523405318263,32
PEC,11258,417,5654,50.22206430982412,13.43884892086331,0.4595217513427989,32
FoCus,495,39,79,15.95959595959596,10.666666666666666,0.6417173125559325,32
MPChat,1462,62,437,29.890560875512996,16.532258064516128,0.2728649270671863,32
PER-CHAT,8359,226,4173,49.922239502332815,18.52212389380531,0.3682411580562492,32
