Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,786,5,611,77.735368956743,35.0,0.2876215,16
SyntheticPersonaChat,864,4,678,78.47222222222221,46.5,0.23626894,16
MSC,1455,4,1145,78.69415807560138,77.5,0.14628473,16
PEC,24320,14,23105,95.00411184210526,86.78571428571429,0.22550641,16
FoCus,950,6,618,65.05263157894737,55.333333333333336,0.25083697,16
MPChat,3015,5,2583,85.67164179104478,86.4,0.2693451,16
PER-CHAT,19148,10,16375,85.51806977229998,277.3,0.3101209,16
