HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 15536
Vectorization method: tfidf
Number of clusters: 93
Number of noise points: 8615 (55.5%)
Analysis type: clusters
Timestamp: 2025-05-27 15:11:24

Dataset Distribution:
  PER-CHAT: 15536 statements

============================================================

Cluster Information:
  Cluster 91: 1465 statements (persistence: 0.214)
  Cluster 56: 936 statements (persistence: 0.999)
  Cluster 68: 316 statements (persistence: 0.376)
  Cluster 57: 265 statements (persistence: 0.231)
  Cluster 52: 226 statements (persistence: 0.298)
  Cluster 59: 166 statements (persistence: 0.248)
  Cluster 47: 161 statements (persistence: 0.377)
  Cluster 35: 160 statements (persistence: 0.258)
  Cluster 86: 143 statements (persistence: 0.297)
  Cluster 80: 124 statements (persistence: 0.571)
  Cluster 49: 116 statements (persistence: 0.412)
  Cluster 30: 107 statements (persistence: 0.272)
  Cluster 11: 91 statements (persistence: 0.316)
  Cluster 71: 91 statements (persistence: 0.397)
  Cluster 45: 90 statements (persistence: 0.403)
  Cluster 67: 89 statements (persistence: 0.365)
  Cluster 77: 89 statements (persistence: 0.440)
  Cluster 5: 88 statements (persistence: 0.341)
  Cluster 22: 88 statements (persistence: 0.274)
  Cluster 73: 87 statements (persistence: 0.368)
  Cluster 70: 83 statements (persistence: 0.324)
  Cluster 26: 79 statements (persistence: 0.421)
  Cluster 37: 77 statements (persistence: 0.423)
  Cluster 19: 71 statements (persistence: 0.486)
  Cluster 61: 67 statements (persistence: 0.442)
  Cluster 10: 65 statements (persistence: 0.368)
  Cluster 17: 61 statements (persistence: 0.451)
  Cluster 66: 61 statements (persistence: 0.513)
  Cluster 8: 60 statements (persistence: 0.547)
  Cluster 21: 55 statements (persistence: 0.468)
  Cluster 42: 55 statements (persistence: 0.420)
  Cluster 7: 54 statements (persistence: 0.981)
  Cluster 65: 52 statements (persistence: 0.475)
  Cluster 40: 51 statements (persistence: 0.464)
  Cluster 44: 45 statements (persistence: 0.503)
  Cluster 33: 42 statements (persistence: 0.679)
  Cluster 58: 37 statements (persistence: 0.795)
  Cluster 85: 34 statements (persistence: 0.799)
  Cluster 82: 32 statements (persistence: 0.753)
  Cluster 69: 31 statements (persistence: 0.884)
  Cluster 31: 30 statements (persistence: 0.832)
  Cluster 53: 30 statements (persistence: 0.657)
  Cluster 39: 28 statements (persistence: 0.911)
  Cluster 76: 27 statements (persistence: 0.796)
  Cluster 0: 26 statements (persistence: 0.654)
  Cluster 38: 24 statements (persistence: 0.712)
  Cluster 41: 24 statements (persistence: 0.887)
  Cluster 64: 24 statements (persistence: 0.737)
  Cluster 29: 23 statements (persistence: 0.783)
  Cluster 50: 23 statements (persistence: 0.757)
  Cluster 54: 22 statements (persistence: 0.814)
  Cluster 62: 22 statements (persistence: 0.866)
  Cluster 92: 22 statements (persistence: 0.828)
  Cluster 43: 21 statements (persistence: 0.862)
  Cluster 87: 20 statements (persistence: 0.955)
  Cluster 78: 19 statements (persistence: 0.927)
  Cluster 32: 18 statements (persistence: 0.879)
  Cluster 60: 18 statements (persistence: 0.948)
  Cluster 20: 17 statements (persistence: 0.936)
  Cluster 79: 17 statements (persistence: 0.973)
  Cluster 84: 17 statements (persistence: 0.951)
  Cluster 88: 17 statements (persistence: 0.978)
  Cluster 89: 17 statements (persistence: 0.951)
  Cluster 25: 16 statements (persistence: 0.945)
  Cluster 27: 16 statements (persistence: 0.890)
  Cluster 75: 16 statements (persistence: 0.972)
  Cluster 3: 15 statements (persistence: 0.910)
  Cluster 9: 15 statements (persistence: 0.987)
  Cluster 36: 15 statements (persistence: 0.956)
  Cluster 46: 15 statements (persistence: 0.977)
  Cluster 48: 15 statements (persistence: 0.954)
  Cluster 81: 15 statements (persistence: 0.965)
  Cluster 1: 14 statements (persistence: 1.000)
  Cluster 15: 14 statements (persistence: 0.977)
  Cluster 55: 14 statements (persistence: 0.972)
  Cluster 63: 14 statements (persistence: 0.973)
  Cluster 72: 14 statements (persistence: 0.994)
  Cluster 2: 13 statements (persistence: 0.999)
  Cluster 4: 13 statements (persistence: 0.997)
  Cluster 13: 13 statements (persistence: 1.000)
  Cluster 28: 13 statements (persistence: 1.000)
  Cluster 83: 13 statements (persistence: 0.995)
  Cluster 6: 12 statements (persistence: 1.000)
  Cluster 12: 12 statements (persistence: 1.000)
  Cluster 14: 12 statements (persistence: 1.000)
  Cluster 16: 12 statements (persistence: 1.000)
  Cluster 18: 12 statements (persistence: 1.000)
  Cluster 23: 12 statements (persistence: 1.000)
  Cluster 24: 12 statements (persistence: 1.000)
  Cluster 34: 12 statements (persistence: 1.000)
  Cluster 51: 12 statements (persistence: 1.000)
  Cluster 74: 12 statements (persistence: 1.000)
  Cluster 90: 12 statements (persistence: 1.000)
