Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,426,2,39,9.15492957746479,193.5,-0.010271736,32
SyntheticPersonaChat,475,2,65,13.684210526315791,205.0,-0.012478707,32
MSC,718,12,434,60.44568245125348,23.666666666666668,0.11058161,32
PEC,11258,2,4119,36.587315686622844,3569.5,0.0028493358,32
FoCus,495,14,316,63.83838383838384,12.785714285714286,0.10764136,32
MPChat,1462,2,691,47.264021887824896,385.5,0.01890885,32
PER-CHAT,8359,63,6419,76.79148223471707,30.793650793650794,0.10122861,32
