Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,39060,16,36543,93.55606758832565,157.3125,0.23190649808033625,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",81,hybrid,400,0.06,24,12,0.5,0.3,16,combined
Combined,12093,62,10776,89.10940213346564,21.241935483870968,0.19089049041122189,16,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",82,hybrid,100,0.02,5,5,1.0,0.3,16,combined
Combined,46737,109,22861,48.91413655134048,219.045871559633,0.3236405946912457,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",83,hybrid,500,0.06,30,21,0.7,0.9,48,combined
Combined,12093,327,8854,73.2159100305962,9.905198776758409,0.08594798296689987,16,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",84,dense,100,0.02,5,2,0.5,,16,combined
Combined,30553,582,14888,48.72843910581612,26.915807560137456,0.1919407922852223,48,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",85,hybrid,300,0.02,6,3,0.5,0.9,48,combined
Combined,12093,60,7288,60.26626974282643,80.08333333333333,0.26464912130492496,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",86,hybrid,100,0.1,10,7,0.7,0.7,32,combined
Combined,21736,4,15183,69.85185866764813,1638.25,-0.08774750679731369,16,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",87,dense,200,0.05,10,5,0.5,,16,combined
Combined,39060,12,37168,95.15616999487968,157.66666666666666,0.2391979843378067,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",88,dense,400,0.05,20,10,0.5,,32,combined
Combined,12093,216,7632,63.11089059786653,20.65277777777778,0.4817032154571122,16,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",89,tfidf,100,0.06,6,4,0.7,,16,combined
Combined,21736,226,9454,43.494663231505335,54.34513274336283,0.24952992224588438,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",90,hybrid,200,0.04,8,5,0.7,0.9,32,combined
Combined,21736,38,20468,94.16635995583364,33.36842105263158,0.20258415531437085,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",91,hybrid,200,0.06,12,8,0.7,0.3,32,combined
Combined,12093,188,5629,46.547589514595224,34.38297872340426,0.27094802550900726,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",92,hybrid,100,0.06,6,4,0.7,0.9,32,combined
Combined,39060,31,36712,93.98873527905785,75.74193548387096,0.19417152885719854,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",93,hybrid,400,0.04,16,8,0.5,0.3,32,combined
Combined,21736,174,11114,51.131762973868234,61.04597701149425,0.523705706803882,48,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",94,tfidf,200,0.06,12,12,1.0,,48,combined
Combined,12093,2,4118,34.05275779376499,3987.5,0.001091512618586421,48,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",95,dense,100,0.02,5,3,0.7,,48,combined
Combined,21736,9,20636,94.93927125506073,122.22222222222223,0.24383947253227234,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",96,dense,200,0.1,20,10,0.5,,32,combined
Combined,21736,126,9957,45.808796466691206,93.48412698412699,0.4689373671150246,48,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",97,tfidf,200,0.1,20,10,0.5,,48,combined
Combined,46737,414,29076,62.21195198664869,42.65942028985507,0.437850091977779,16,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",98,tfidf,500,0.02,10,5,0.5,,16,combined
Combined,21736,178,12886,59.28413691571587,49.71910112359551,0.4898725988749298,16,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",99,tfidf,200,0.05,10,7,0.7,,16,combined
Combined,39060,69,20822,53.30773169482846,264.3188405797101,0.5131140021441298,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",100,tfidf,400,0.1,40,40,1.0,,16,combined
