Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,12093,333,5988,49.51624906970975,18.333333333333332,0.22270653021917364,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",21,hybrid,100,0.04,5,2,0.5,0.9,32,combined
Combined,46737,543,27561,58.97040888375377,35.31491712707182,0.509325884190731,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",22,tfidf,500,0.02,10,7,0.7,,48,combined
Combined,30553,154,17504,57.290609760089026,84.73376623376623,0.4802439336730557,16,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",23,tfidf,300,0.05,15,10,0.7,,16,combined
Combined,46737,10,44647,95.52816826069281,209.0,0.36486196517944336,16,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",24,dense,500,0.03,15,15,1.0,,16,combined
Combined,46737,4,45290,96.90395190106341,361.75,0.3269927203655243,32,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",25,dense,500,0.1,50,50,1.0,,32,combined
Combined,39060,66,19883,50.903737839221705,290.56060606060606,0.5000032311650132,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",26,tfidf,400,0.1,40,40,1.0,,16,combined
Combined,39060,265,24980,63.952892985151045,53.132075471698116,0.4641806733809024,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",27,tfidf,400,0.03,12,6,0.5,,16,combined
Combined,30553,34,24434,79.9725067914771,179.97058823529412,0.26855100590267456,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",28,hybrid,300,0.1,30,21,0.7,0.5,32,combined
Combined,39060,69,19602,50.184331797235025,282.0,0.3532796694422177,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",29,hybrid,400,0.1,40,28,0.7,0.9,32,combined
Combined,39060,106,18758,48.023553507424474,191.52830188679246,0.325113821639825,48,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",30,hybrid,400,0.06,24,24,1.0,0.9,48,combined
