Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,692,2,553,79.91329479768787,69.5,0.17017102,32
SyntheticPersonaChat,759,2,633,83.399209486166,63.0,0.25341195,32
MSC,1245,3,1040,83.53413654618474,68.33333333333333,0.22070187,32
PEC,20479,2,19064,93.090482933737,707.5,0.1067338,32
FoCus,813,2,654,80.44280442804428,79.5,0.18949132,32
MPChat,2597,4,2237,86.13785136696188,90.0,0.22543648,32
PER-CHAT,15536,5,13323,85.75566426364573,442.6,0.29893917,32
