Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,692,32,269,38.872832369942195,13.21875,0.08325101,32
SyntheticPersonaChat,759,33,413,54.413702239789195,10.484848484848484,0.121077016,32
MSC,1245,47,766,61.52610441767068,10.191489361702128,0.13274822,32
PEC,20479,2,2063,10.07373406904634,9208.0,-0.014814921,32
FoCus,813,36,456,56.08856088560885,9.916666666666666,0.102389276,32
MPChat,2597,2,110,4.235656526761648,1243.5,0.00026298297,32
PER-CHAT,15536,2,427,2.748455200823893,7554.5,-0.027277572,32
