Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,786,46,287,36.51399491094148,10.847826086956522,0.642877509388814,16
SyntheticPersonaChat,864,41,334,38.657407407407405,12.926829268292684,0.6962297158847714,16
MSC,1455,59,654,44.948453608247426,13.576271186440678,0.40832207168893264,16
PEC,24320,607,14213,58.44161184210527,16.650741350906095,0.42849177052853354,16
FoCus,950,54,267,28.10526315789474,12.648148148148149,0.7327058735125512,16
MPChat,3015,94,1389,46.069651741293534,17.29787234042553,0.3820746619698094,16
PER-CHAT,19148,424,10193,53.232713599331525,21.120283018867923,0.31817746962611587,16
