HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 24320
Vectorization method: tfidf
Number of clusters: 242
Number of noise points: 15644 (64.3%)
Analysis type: clusters
Timestamp: 2025-05-27 17:08:21

Dataset Distribution:
  PEC: 24320 statements

============================================================

Cluster Information:
  Cluster 240: 954 statements (persistence: 0.501)
  Cluster 177: 213 statements (persistence: 0.695)
  Cluster 159: 166 statements (persistence: 0.307)
  Cluster 128: 153 statements (persistence: 1.000)
  Cluster 130: 149 statements (persistence: 0.320)
  Cluster 162: 138 statements (persistence: 0.567)
  Cluster 180: 137 statements (persistence: 0.738)
  Cluster 148: 119 statements (persistence: 0.713)
  Cluster 165: 113 statements (persistence: 0.580)
  Cluster 183: 108 statements (persistence: 0.491)
  Cluster 45: 99 statements (persistence: 0.660)
  Cluster 136: 95 statements (persistence: 1.000)
  Cluster 34: 90 statements (persistence: 0.389)
  Cluster 154: 81 statements (persistence: 0.369)
  Cluster 170: 81 statements (persistence: 0.817)
  Cluster 38: 80 statements (persistence: 0.380)
  Cluster 109: 79 statements (persistence: 0.382)
  Cluster 217: 71 statements (persistence: 0.582)
  Cluster 131: 69 statements (persistence: 0.441)
  Cluster 195: 69 statements (persistence: 0.858)
  Cluster 140: 68 statements (persistence: 0.563)
  Cluster 167: 67 statements (persistence: 0.528)
  Cluster 117: 66 statements (persistence: 0.387)
  Cluster 168: 64 statements (persistence: 0.522)
  Cluster 87: 63 statements (persistence: 0.714)
  Cluster 184: 62 statements (persistence: 0.418)
  Cluster 138: 61 statements (persistence: 0.422)
  Cluster 194: 61 statements (persistence: 0.573)
  Cluster 21: 59 statements (persistence: 0.448)
  Cluster 28: 58 statements (persistence: 0.534)
  Cluster 116: 58 statements (persistence: 0.573)
  Cluster 158: 57 statements (persistence: 0.461)
  Cluster 198: 57 statements (persistence: 0.479)
  Cluster 132: 53 statements (persistence: 0.784)
  Cluster 139: 52 statements (persistence: 0.571)
  Cluster 113: 51 statements (persistence: 0.489)
  Cluster 182: 51 statements (persistence: 0.597)
  Cluster 225: 51 statements (persistence: 0.459)
  Cluster 157: 50 statements (persistence: 0.640)
  Cluster 105: 49 statements (persistence: 0.553)
  Cluster 145: 49 statements (persistence: 1.000)
  Cluster 200: 49 statements (persistence: 0.716)
  Cluster 218: 49 statements (persistence: 0.827)
  Cluster 123: 48 statements (persistence: 0.528)
  Cluster 155: 48 statements (persistence: 0.501)
  Cluster 94: 47 statements (persistence: 0.651)
  Cluster 110: 47 statements (persistence: 0.848)
  Cluster 39: 46 statements (persistence: 0.622)
  Cluster 82: 46 statements (persistence: 1.000)
  Cluster 160: 46 statements (persistence: 0.659)
  Cluster 208: 45 statements (persistence: 0.551)
  Cluster 15: 44 statements (persistence: 0.571)
  Cluster 40: 44 statements (persistence: 0.528)
  Cluster 187: 44 statements (persistence: 0.617)
  Cluster 189: 43 statements (persistence: 0.746)
  Cluster 210: 43 statements (persistence: 0.506)
  Cluster 153: 42 statements (persistence: 0.724)
  Cluster 14: 41 statements (persistence: 0.477)
  Cluster 64: 41 statements (persistence: 0.449)
  Cluster 85: 41 statements (persistence: 1.000)
  Cluster 126: 41 statements (persistence: 1.000)
  Cluster 232: 41 statements (persistence: 0.610)
  Cluster 20: 40 statements (persistence: 0.453)
  Cluster 144: 40 statements (persistence: 0.601)
  Cluster 112: 39 statements (persistence: 0.728)
  Cluster 186: 39 statements (persistence: 0.679)
  Cluster 202: 39 statements (persistence: 0.773)
  Cluster 73: 38 statements (persistence: 0.483)
  Cluster 79: 38 statements (persistence: 0.536)
  Cluster 111: 37 statements (persistence: 0.583)
  Cluster 227: 37 statements (persistence: 0.685)
  Cluster 230: 37 statements (persistence: 0.683)
  Cluster 11: 36 statements (persistence: 0.389)
  Cluster 42: 36 statements (persistence: 0.621)
  Cluster 108: 36 statements (persistence: 0.748)
  Cluster 205: 36 statements (persistence: 0.821)
  Cluster 95: 35 statements (persistence: 0.790)
  Cluster 98: 35 statements (persistence: 0.689)
  Cluster 176: 35 statements (persistence: 0.683)
  Cluster 192: 35 statements (persistence: 0.721)
  Cluster 37: 34 statements (persistence: 0.548)
  Cluster 10: 33 statements (persistence: 0.553)
  Cluster 12: 33 statements (persistence: 0.739)
  Cluster 18: 33 statements (persistence: 0.528)
  Cluster 84: 33 statements (persistence: 1.000)
  Cluster 104: 32 statements (persistence: 1.000)
  Cluster 207: 31 statements (persistence: 0.860)
  Cluster 35: 30 statements (persistence: 0.617)
  Cluster 178: 30 statements (persistence: 0.646)
  Cluster 190: 29 statements (persistence: 0.768)
  Cluster 228: 29 statements (persistence: 0.710)
  Cluster 55: 28 statements (persistence: 0.720)
  Cluster 67: 28 statements (persistence: 0.782)
  Cluster 68: 28 statements (persistence: 0.667)
  Cluster 99: 28 statements (persistence: 0.756)
  Cluster 151: 28 statements (persistence: 1.000)
  Cluster 161: 28 statements (persistence: 0.895)
  Cluster 66: 27 statements (persistence: 0.660)
  Cluster 88: 27 statements (persistence: 0.764)
  Cluster 213: 27 statements (persistence: 0.859)
  Cluster 26: 26 statements (persistence: 0.666)
  Cluster 48: 26 statements (persistence: 0.666)
  Cluster 179: 26 statements (persistence: 0.857)
  Cluster 23: 25 statements (persistence: 0.703)
  Cluster 106: 25 statements (persistence: 1.000)
  Cluster 171: 25 statements (persistence: 0.960)
  Cluster 3: 24 statements (persistence: 0.595)
  Cluster 4: 24 statements (persistence: 0.590)
  Cluster 212: 24 statements (persistence: 0.782)
  Cluster 226: 24 statements (persistence: 0.905)
  Cluster 102: 23 statements (persistence: 1.000)
  Cluster 172: 23 statements (persistence: 1.000)
  Cluster 193: 23 statements (persistence: 0.868)
  Cluster 221: 23 statements (persistence: 1.000)
  Cluster 32: 22 statements (persistence: 0.716)
  Cluster 57: 22 statements (persistence: 0.663)
  Cluster 96: 22 statements (persistence: 0.809)
  Cluster 137: 22 statements (persistence: 0.893)
  Cluster 175: 22 statements (persistence: 0.782)
  Cluster 220: 22 statements (persistence: 0.983)
  Cluster 231: 22 statements (persistence: 0.858)
  Cluster 78: 21 statements (persistence: 0.849)
  Cluster 122: 21 statements (persistence: 0.925)
  Cluster 127: 21 statements (persistence: 0.787)
  Cluster 156: 21 statements (persistence: 0.942)
  Cluster 188: 21 statements (persistence: 0.952)
  Cluster 33: 20 statements (persistence: 0.727)
  Cluster 36: 20 statements (persistence: 0.659)
  Cluster 56: 20 statements (persistence: 0.677)
