Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,11252,53,6478,57.57198720227515,90.0754716981132,0.6593134863218448,32
SyntheticPersonaChat,22380,193,10381,46.385165326184094,62.170984455958546,0.709227161974028,32
MSC,19803,65,11098,56.04201383628743,133.92307692307693,0.6200737985342291,32
PEC,154594,535,60427,39.08754544160834,176.01308411214953,0.5078937974507942,32
FoCus,12500,61,5293,42.344,118.14754098360656,0.6595247564855713,32
MPChat,24614,76,9896,40.20476151783538,193.6578947368421,0.529536621570132,32
PER-CHAT,166121,457,78097,47.01211767326226,192.61269146608316,0.7859682341309899,32
