trial,vectorization,sample_size,min_cluster_size,min_samples,min_samples_ratio,avg_clusters,avg_noise_percentage,avg_silhouette,avg_cluster_size,total_datasets,successful_datasets
1,tfidf,750,15,15,1.0,63.57142857142857,54.15579267244395,0.5267307371882913,51.595354009433535,7,7
2,hybrid,750,30,21,0.7,28.142857142857142,55.68092518971158,0.3590167000904083,113.50585317460319,7,7
3,dense,750,75,52,0.7,1.5714285714285714,95.54748905568928,-0.3254901681627546,170.91666666666669,7,4
4,hybrid,200,10,10,1.0,22.571428571428573,64.45358788488453,0.3030476126522621,36.4165339075999,7,7
5,hybrid,200,5,2,0.5,101.0,51.16923588808988,0.04774259201496822,10.40950937088291,7,7
6,dense,400,5,2,0.5,22.0,32.5655779585204,0.05680514364004401,2578.544536359031,7,7
7,tfidf,400,12,6,0.5,59.142857142857146,48.70066257999595,0.4909541039576643,38.27783712703068,7,7
8,hybrid,200,5,2,0.5,109.0,29.49442830171834,0.23843433792804153,13.479595418382772,7,7
9,tfidf,500,5,3,0.7,189.28571428571428,43.70987089531734,0.5155541532285041,15.009710200005369,7,7
10,tfidf,750,37,37,1.0,24.428571428571427,38.92066986428601,0.6027047714741957,171.21356949283782,7,7
11,hybrid,500,10,10,1.0,11.571428571428571,86.98121521578608,0.2298677661193864,36.7157029478458,7,7
12,tfidf,750,15,7,0.5,78.28571428571429,52.337975908106614,0.461096035937904,48.04586656695007,7,7
13,tfidf,750,30,30,1.0,33.0,54.067531572634664,0.5571110414250606,114.09632502049443,7,7
14,tfidf,750,15,10,0.7,60.857142857142854,51.38357293731374,0.5393172847993227,53.41554713542291,7,7
15,tfidf,750,22,15,0.7,43.285714285714285,51.17537065195707,0.5315210639107796,77.84625374682723,7,7
16,dense,750,30,30,1.0,3.5714285714285716,84.38421908636613,0.2788883788245065,186.03333333333333,7,7
17,dense,200,20,14,0.7,3.0,76.412089409567,0.2370142298085349,118.60714285714286,7,7
18,dense,400,20,20,1.0,3.0,85.24029501380055,0.2076505231005805,211.952380952381,7,7
19,hybrid,200,8,8,1.0,27.142857142857142,57.743345323688075,0.28688014643307025,33.433428341158766,7,7
20,dense,400,40,40,1.0,1.4285714285714286,95.12876076953201,-0.3216841391154698,141.35714285714286,7,4
21,tfidf,300,15,10,0.7,36.857142857142854,50.63314760468035,0.43367459741404696,51.29168410110659,7,7
22,dense,500,15,10,0.7,6.142857142857143,83.98701697397387,0.19207465861524856,90.76785714285714,7,7
23,tfidf,400,40,40,1.0,17.857142857142858,49.28707062995442,0.5627784865402511,165.46722325293757,7,7
24,dense,500,25,12,0.5,4.285714285714286,84.44801531550368,0.18907941452094487,126.38503401360545,7,7
25,hybrid,200,10,10,1.0,15.714285714285714,83.68794010985025,0.14149854330123252,32.419419196249926,7,7
26,tfidf,500,20,14,0.7,37.714285714285715,47.35696642304605,0.5427737384416028,77.0076987946479,7,7
27,tfidf,400,8,5,0.7,81.71428571428571,46.75833777087124,0.5417747706861513,26.79933492025567,7,7
28,hybrid,400,16,16,1.0,14.0,89.13556179586196,0.014735962084631056,39.86520737327189,7,6
29,hybrid,200,20,10,0.5,3.0,84.09030036406538,-0.010377044754178234,180.15357142857144,7,6
30,tfidf,200,10,5,0.5,46.857142857142854,43.6195413511469,0.33967982704345523,30.508427715695156,7,7
31,tfidf,400,20,10,0.5,36.57142857142857,49.45431243778176,0.4215182746149802,67.94526417765854,7,7
32,hybrid,750,37,25,0.7,19.428571428571427,76.7267304222049,0.2368340535474804,106.25124569308242,7,7
33,hybrid,500,15,7,0.5,18.0,70.3346380906674,0.13023005088201203,80.46633810952319,7,7
34,hybrid,750,75,37,0.5,0.7142857142857143,98.67179951285199,-0.6670953019408451,158.95238095238096,7,2
35,hybrid,750,22,22,1.0,10.714285714285714,82.14933050355646,0.31792478495054854,106.11335937883925,7,7
36,hybrid,400,12,6,0.5,32.285714285714285,54.47970836380271,0.25571449014468783,51.13570123139696,7,7
37,dense,500,20,14,0.7,4.142857142857143,85.87398598847983,0.2054600098303386,125.06122448979593,7,7
38,hybrid,200,5,3,0.7,69.42857142857143,41.88534292136418,0.21089690223406762,15.721757148240856,7,7
39,hybrid,500,25,17,0.7,12.142857142857142,89.25764913925534,0.010796530787811497,64.72847050908275,7,6
40,dense,750,30,30,1.0,2.2857142857142856,91.51434833019438,-0.14376244055373327,257.6309523809524,7,5
41,tfidf,200,20,20,1.0,20.0,59.622614206325906,0.5828281055135157,65.12160068846816,7,7
42,dense,500,5,5,1.0,17.0,79.99667302376704,0.10220908905778613,131.55456396605467,7,7
43,hybrid,750,37,18,0.5,25.857142857142858,54.568979231432024,0.34850365138862266,123.83200143898365,7,7
44,tfidf,500,15,7,0.5,50.714285714285715,45.96936255414892,0.5170070657452079,51.308558537725254,7,7
45,dense,200,5,2,0.5,85.71428571428571,48.1201446758158,0.08372788849685874,104.29162025943981,7,7
46,tfidf,500,50,35,0.7,18.428571428571427,45.25708456449737,0.5079159054900154,194.84577137838005,7,7
47,tfidf,400,20,14,0.7,35.142857142857146,51.303515744595884,0.46874623943368227,66.74002470100513,7,7
48,dense,500,10,5,0.5,8.428571428571429,73.80156493098308,0.21010788423674448,570.806746031746,7,7
49,tfidf,500,50,50,1.0,16.714285714285715,60.99532757920787,0.5804795446979444,169.99246031746029,7,7
50,dense,750,7,7,1.0,10.285714285714286,77.20612945913821,0.17539257179513307,385.36178107606685,7,7
51,tfidf,500,20,14,0.7,40.42857142857143,48.90768166762781,0.45119242625584416,72.22363251152747,7,7
52,tfidf,300,30,15,0.5,20.285714285714285,48.44723509973379,0.48276494717444324,103.69961389961391,7,7
53,dense,500,10,5,0.5,8.714285714285714,73.82569713266868,0.2065895221063069,567.3211451247165,7,7
54,tfidf,200,5,2,0.5,121.85714285714286,30.743778708410865,0.4352478704166806,13.228426469625456,7,7
55,hybrid,400,40,40,1.0,11.0,84.31880827960488,-0.24647383705903173,72.44285714285715,7,4
56,tfidf,300,12,8,0.7,46.714285714285715,44.753858304112406,0.40997156924678485,40.49417310783963,7,7
57,hybrid,750,7,4,0.7,24.571428571428573,73.79016107974071,0.14583285848757974,1071.6303210385624,7,7
58,hybrid,750,75,75,1.0,4.0,95.89406871562696,-0.6006001970598103,87.61607142857143,7,2
59,hybrid,300,6,3,0.5,74.57142857142857,38.90147279023818,0.2765066767410611,24.38585385917395,7,7
60,dense,400,5,5,1.0,16.857142857142858,76.43857215525811,0.10471595930201667,282.0873589435774,7,7
61,dense,500,10,5,0.5,8.285714285714286,80.88304987789438,0.13913200103810855,312.190873015873,7,7
62,dense,750,15,10,0.7,6.428571428571429,87.9559675962681,0.1827811822295189,93.14880952380953,7,7
63,hybrid,300,12,6,0.5,21.857142857142858,54.14615502537373,0.3219572612575313,57.345418470418466,7,7
64,hybrid,300,5,3,0.7,116.85714285714286,34.18706008725763,0.2734081053661182,16.599917800229886,7,7
65,dense,200,6,3,0.5,12.0,46.00387905214185,0.013608758994710765,438.9602853287064,7,7
66,hybrid,750,7,7,1.0,134.0,40.68963200008254,0.310629765757986,26.153352267053844,7,7
67,dense,750,22,11,0.5,4.0,86.98512337708644,0.19683246740273067,259.0630952380953,7,7
68,tfidf,400,8,5,0.7,99.71428571428571,41.486956798346675,0.48331412065914364,23.884460354825997,7,7
69,tfidf,750,15,7,0.5,65.0,48.80655205004049,0.5048865527592937,50.38239228717939,7,7
70,tfidf,500,5,5,1.0,188.14285714285714,42.88089609767229,0.5098564360406307,16.065302229864848,7,7
71,dense,200,8,8,1.0,6.571428571428571,83.25079850910573,0.1502166044499193,46.49546485260771,7,7
72,hybrid,200,20,14,0.7,2.142857142857143,93.96185108230033,-0.3486997979353714,130.875,7,4
73,tfidf,400,40,20,0.5,15.857142857142858,30.00948774309494,0.5394823079283877,206.0302298592393,7,7
74,dense,400,12,6,0.5,6.142857142857143,79.7128801804607,0.1593882589201842,280.7256648113791,7,7
75,tfidf,750,22,11,0.5,51.42857142857143,48.31955227998632,0.4536412356883888,76.7706166849024,7,7
76,dense,200,6,3,0.5,13.857142857142858,43.96657517179752,0.04549418868763106,631.5351473922902,7,7
77,hybrid,400,5,3,0.7,146.14285714285714,35.00339608940017,0.2648798951309847,17.698135560231712,7,7
78,tfidf,750,75,52,0.7,12.142857142857142,35.948067241176524,0.6005184096899991,363.80838459785826,7,7
79,tfidf,750,7,4,0.7,157.28571428571428,47.08343044930014,0.5231024185681795,23.1093562123235,7,7
80,dense,200,5,2,0.5,90.57142857142857,47.03534365840834,0.11799626903874534,110.95364682381016,7,7
