Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
MPChat,1903,18,1153,60.58854440357331,41.666666666666664,0.3346754087371158,16,63,hybrid,300,0.04,12,6,0.5,0.7,16,separate
PER-CHAT,12212,33,8701,71.24959056665575,106.39393939393939,0.31402374993425775,16,63,hybrid,300,0.04,12,6,0.5,0.7,16,separate
PersonaChat,574,40,147,25.609756097560975,10.675,0.2661521278146441,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
SyntheticPersonaChat,631,42,133,21.077654516640255,11.857142857142858,0.2737312395744797,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
MSC,976,44,331,33.91393442622951,14.659090909090908,0.21417784539449358,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
PEC,15829,323,6494,41.02596500094763,28.90092879256966,0.19469816752271515,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
FoCus,676,41,156,23.076923076923077,12.682926829268293,0.4140788461861591,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
MPChat,1903,73,765,40.19968470835523,15.58904109589041,0.26903315317581133,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
PER-CHAT,12212,255,6644,54.40550278414674,21.83529411764706,0.2819853578945245,32,64,hybrid,300,0.01,5,3,0.7,0.9,32,separate
PersonaChat,426,19,233,54.694835680751176,10.157894736842104,0.11026947945356369,48,65,dense,200,0.03,6,3,0.5,,48,separate
SyntheticPersonaChat,475,2,217,45.68421052631579,129.0,0.052470047026872635,48,65,dense,200,0.03,6,3,0.5,,48,separate
MSC,718,2,142,19.77715877437326,288.0,-0.03354191780090332,48,65,dense,200,0.03,6,3,0.5,,48,separate
PEC,11258,3,4486,39.847219754841,2257.3333333333335,-0.07427200675010681,48,65,dense,200,0.03,6,3,0.5,,48,separate
FoCus,495,2,199,40.2020202020202,148.0,-0.0006036274717189372,48,65,dense,200,0.03,6,3,0.5,,48,separate
MPChat,1462,4,644,44.04924760601915,204.5,-0.06503044813871384,48,65,dense,200,0.03,6,3,0.5,,48,separate
PER-CHAT,8359,52,6501,77.77246082067234,35.73076923076923,0.10596978664398193,48,65,dense,200,0.03,6,3,0.5,,48,separate
PersonaChat,981,48,336,34.25076452599388,13.4375,0.37334122918899165,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
SyntheticPersonaChat,1045,44,382,36.55502392344497,15.068181818181818,0.2924655943916687,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
MSC,1898,51,733,38.61959957850369,22.84313725490196,0.3087095279240536,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
PEC,33064,451,13457,40.69985482700218,43.47450110864745,0.17520726443603477,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
FoCus,1270,48,284,22.362204724409448,20.541666666666668,0.415813843542866,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
MPChat,4177,88,1844,44.14651663873593,26.511363636363637,0.2996983088681602,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
PER-CHAT,26941,208,18372,68.19345978248765,41.19711538461539,0.30917259195412733,48,66,hybrid,750,0.01,7,7,1.0,0.9,48,separate
PersonaChat,981,4,812,82.77268093781855,42.25,0.20263716578483582,32,67,dense,750,0.03,22,11,0.5,,32,separate
SyntheticPersonaChat,1045,3,851,81.43540669856459,64.66666666666667,0.15139763057231903,32,67,dense,750,0.03,22,11,0.5,,32,separate
MSC,1898,4,1701,89.62065331928346,49.25,0.2623758316040039,32,67,dense,750,0.03,22,11,0.5,,32,separate
PEC,33064,2,30890,93.4248729736269,1087.0,0.10427744686603546,32,67,dense,750,0.03,22,11,0.5,,32,separate
FoCus,1270,2,1055,83.07086614173228,107.5,0.1703489124774933,32,67,dense,750,0.03,22,11,0.5,,32,separate
MPChat,4177,5,3750,89.77735216662677,85.4,0.22146527469158173,32,67,dense,750,0.03,22,11,0.5,,32,separate
PER-CHAT,26941,8,23922,88.79403140195241,377.375,0.26532500982284546,32,67,dense,750,0.03,22,11,0.5,,32,separate
PersonaChat,692,29,211,30.491329479768787,16.586206896551722,0.42672282533575334,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
SyntheticPersonaChat,759,27,277,36.49538866930172,17.85185185185185,0.5171064796068967,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
MSC,1245,38,564,45.30120481927711,17.92105263157895,0.47722743371419785,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
PEC,20479,356,11064,54.02607549196738,26.446629213483146,0.5097783190172767,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
FoCus,813,32,244,30.01230012300123,17.78125,0.616901842636644,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
MPChat,2597,59,980,37.735849056603776,27.406779661016948,0.38319866973597194,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
PER-CHAT,15536,157,8754,56.3465499485067,43.197452229299365,0.452263274567265,32,68,tfidf,400,0.02,8,5,0.7,,32,separate
PersonaChat,981,16,406,41.386340468909275,35.9375,0.47346486126506515,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
SyntheticPersonaChat,1045,19,510,48.803827751196174,28.157894736842106,0.6097498199735585,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
MSC,1898,23,1021,53.79346680716544,38.130434782608695,0.4673621879474789,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
PEC,33064,214,20712,62.64214856036777,57.7196261682243,0.5140118801578041,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
FoCus,1270,25,337,26.535433070866144,37.32,0.6076449772680056,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
MPChat,4177,34,2256,54.010055063442664,56.5,0.43978794408198874,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
PER-CHAT,26941,124,14676,54.47459262833599,98.91129032258064,0.4221841986211551,16,69,tfidf,750,0.02,15,7,0.5,,16,separate
PersonaChat,786,40,246,31.297709923664126,13.5,0.4893388429120582,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
SyntheticPersonaChat,864,41,317,36.68981481481482,13.341463414634147,0.5887312273502787,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
MSC,1455,55,616,42.33676975945017,15.254545454545454,0.48673598781294874,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
PEC,24320,711,13619,55.999177631578945,15.050632911392405,0.5117528975162782,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
FoCus,950,50,293,30.842105263157894,13.14,0.687574007671881,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
MPChat,3015,94,1341,44.47761194029851,17.80851063829787,0.37264401221655596,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
PER-CHAT,19148,326,11206,58.52308335074159,24.36196319018405,0.4322180768044144,32,70,tfidf,500,0.01,5,5,1.0,,32,separate
PersonaChat,426,5,339,79.5774647887324,17.4,0.18232914805412292,48,71,dense,200,0.04,8,8,1.0,,48,separate
SyntheticPersonaChat,475,5,382,80.42105263157895,18.6,0.17709513008594513,48,71,dense,200,0.04,8,8,1.0,,48,separate
MSC,718,6,587,81.75487465181058,21.833333333333332,0.16795919835567474,48,71,dense,200,0.04,8,8,1.0,,48,separate
PEC,11258,9,10600,94.15526736542903,73.11111111111111,0.0446813739836216,48,71,dense,200,0.04,8,8,1.0,,48,separate
FoCus,495,3,400,80.8080808080808,31.666666666666668,0.10424291342496872,48,71,dense,200,0.04,8,8,1.0,,48,separate
MPChat,1462,4,1210,82.76333789329685,63.0,0.16762714087963104,48,71,dense,200,0.04,8,8,1.0,,48,separate
PER-CHAT,8359,14,6961,83.27551142481158,99.85714285714286,0.2075813263654709,48,71,dense,200,0.04,8,8,1.0,,48,separate
