Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,692,11,365,52.74566473988439,29.727272727272727,0.484332218291265,32
SyntheticPersonaChat,759,14,365,48.08959156785244,28.142857142857142,0.5367745903981862,32
MSC,1245,24,672,53.975903614457835,23.875,0.48636301750564953,32
PEC,20479,210,9848,48.0882855608184,50.62380952380953,0.5034968799194716,32
FoCus,813,18,334,41.08241082410824,26.61111111111111,0.5963855287755129,32
MPChat,2597,44,1077,41.47092799383905,34.54545454545455,0.36283983738643744,32
PER-CHAT,15536,93,8615,55.45185375901133,74.41935483870968,0.4664866554271279,32
