Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,981,5,624,63.608562691131496,71.4,0.399282859168062,32
SyntheticPersonaChat,1045,4,740,70.81339712918661,76.25,0.44380016259249677,32
MSC,1898,10,936,49.31506849315068,96.2,0.20833916879976278,32
PEC,33064,90,14459,43.73034115654488,206.72222222222223,0.3236121765118892,32
FoCus,1270,8,614,48.346456692913385,82.0,0.4254822731530848,32
MPChat,4177,32,2034,48.69523581517836,66.96875,0.3566918042537877,32
PER-CHAT,26941,48,17581,65.25741434987566,195.0,0.35590845615377525,32
