Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,981,5,559,56.98267074413863,84.4,0.6528191500792224,48
SyntheticPersonaChat,1045,4,609,58.27751196172248,109.0,0.6930847846739941,48
MSC,1898,8,1085,57.165437302423605,101.625,0.5685189073629685,48
PEC,33064,129,13180,39.862085652068714,154.13953488372093,0.55680700489939,48
FoCus,1270,7,605,47.63779527559055,95.0,0.431595936339781,48
MPChat,4177,22,2207,52.836964328465406,89.54545454545455,0.46849287796272276,48
PER-CHAT,26941,56,17703,65.71025574403325,164.96428571428572,0.528458628657346,48
