Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension
PersonaChat,426,2,309,72.53521126760563,58.5,0.14357820635950228,16
SyntheticPersonaChat,475,3,350,73.68421052631578,41.666666666666664,0.20729897860761398,16
MSC,718,3,562,78.27298050139275,52.0,0.15246702953203517,16
PEC,11258,17,8905,79.09930715935334,138.41176470588235,0.39626339290384804,16
FoCus,495,2,314,63.43434343434343,90.5,0.08123137793234031,16
MPChat,1462,5,1200,82.07934336525308,52.4,0.2021167698077718,16
PER-CHAT,8359,18,7327,87.65402560114846,57.333333333333336,0.25699592636680607,16
